Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,99.73,99.73,98.22,98.94,2746672
1/3/2018 16:00:00,99.24,99.76,99.02,99.55,2976441
1/4/2018 16:00:00,100.03,101.65,99.91,100.85,3122034
1/5/2018 16:00:00,100.85,101.08,100.27,101.08,2550286
1/8/2018 16:00:00,101,101.2,100.12,100.15,1896547
1/9/2018 16:00:00,100.36,100.8,100.27,100.52,2978533
1/10/2018 16:00:00,100.39,101.59,100.33,101.22,2279173
1/11/2018 16:00:00,101.44,101.44,100.2,100.73,2745414
1/12/2018 16:00:00,100.86,101.03,99.93,100.97,3231524
1/16/2018 16:00:00,102.01,102.39,100.15,100.34,3813954
1/17/2018 16:00:00,100.99,101,99.24,100.76,4469669
1/18/2018 16:00:00,100.84,100.84,99.58,99.86,5290672
1/19/2018 16:00:00,97.01,98.94,96.35,98.03,12306039
1/22/2018 16:00:00,97.26,98.34,96.84,98.32,4983551
1/23/2018 16:00:00,98.16,98.4,97.44,97.98,4375157
1/24/2018 16:00:00,98.25,99.51,98.16,99.3,4949481
1/25/2018 16:00:00,99.43,100.11,99.2,99.69,3375241
1/26/2018 16:00:00,99.85,99.95,98.95,99.63,3668677
1/29/2018 16:00:00,99.75,100.18,99.23,99.41,3472131
1/30/2018 16:00:00,99.45,100.1,98.69,98.71,3466484
1/31/2018 16:00:00,98.74,99.71,98.5,99.4,3202864
2/1/2018 16:00:00,98.95,100.04,98.4,100,2952078
2/2/2018 16:00:00,99.53,99.69,96.64,96.68,4663298
2/5/2018 16:00:00,95.83,96.72,88.61,92.01,6421934
2/6/2018 16:00:00,89.75,94.22,88.51,94.18,7243978
2/7/2018 16:00:00,93.53,94.85,93.41,93.61,3796803
2/8/2018 16:00:00,93.75,93.97,88.28,88.34,5814910
2/9/2018 16:00:00,89.47,92.52,87.54,91.72,8017551
2/12/2018 16:00:00,92.58,95.68,92.42,94.7,7419214
2/13/2018 16:00:00,94.03,94.81,92.82,94.56,3366658
2/14/2018 16:00:00,93.97,96.56,93.67,96.23,3446758
2/15/2018 16:00:00,97.06,97.21,95.44,96.56,3057394
2/16/2018 16:00:00,96.37,97.49,96.25,96.79,3280686
2/20/2018 16:00:00,96.58,97.71,96.5,97.19,3514720
2/21/2018 16:00:00,96.92,98.49,96.75,97.5,4431517
2/22/2018 16:00:00,97.59,98.07,97.05,97.35,4270084
2/23/2018 16:00:00,97.78,98.84,97.55,98.8,2440553
2/26/2018 16:00:00,99.43,101.68,98.97,101.64,4953120
2/27/2018 16:00:00,101.66,102.12,99.58,99.58,5167256
2/28/2018 16:00:00,100.04,100.36,97.43,97.51,4053730
3/1/2018 16:00:00,97.82,98.3,94.53,95.14,4369841
3/2/2018 16:00:00,94.63,95.75,93.2,95.6,3584668
3/5/2018 16:00:00,95.09,97.29,94.7,96.66,2661437
3/6/2018 16:00:00,96.99,96.99,95.14,96.07,3221099
3/7/2018 16:00:00,95.21,95.73,94.28,95.64,3594855
3/8/2018 16:00:00,96.05,96.68,95.09,96.59,3760527
3/9/2018 16:00:00,97.58,99.11,97.06,99.05,3044292
3/12/2018 16:00:00,99.09,99.7,97.48,97.67,4020854
3/13/2018 16:00:00,98.12,98.23,95.08,95.37,4858723
3/14/2018 16:00:00,95.96,96.17,94.09,94.53,3013765
3/15/2018 16:00:00,95.06,95.41,93.96,94.39,3212950
3/16/2018 16:00:00,94.55,96.39,94.27,95.61,5124895
3/19/2018 16:00:00,95.44,95.48,93.8,94.84,2610389
3/20/2018 16:00:00,95.35,95.65,94.72,94.95,2501623
