Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,295.75,296.99,295.4,296.84,2978918
1/3/2018 16:00:00,295.94,298.5,295.47,297.8,3211195
1/4/2018 16:00:00,297.94,298.42,295.47,296.67,4171720
1/5/2018 16:00:00,296.77,308.89,296.72,308.84,6177731
1/8/2018 16:00:00,308.66,310.86,305.75,310.15,4124862
1/9/2018 16:00:00,310.59,319.91,310.49,318.43,5641298
1/10/2018 16:00:00,317.49,322.15,315.5,320.26,4479288
1/11/2018 16:00:00,322.13,328.4,321.19,328.12,4635344
1/12/2018 16:00:00,330.38,336.88,330.38,336.21,6559284
1/16/2018 16:00:00,339.9,347.73,331.33,335.16,12305475
1/17/2018 16:00:00,337.73,352.23,336.41,351.01,9699917
1/18/2018 16:00:00,350.7,350.83,339.15,340.16,9458634
1/19/2018 16:00:00,341.67,344,335.75,337.73,7264401
1/22/2018 16:00:00,335.29,341.38,332.04,338,6792870
1/23/2018 16:00:00,338.34,338.94,334.81,335.59,4537784
1/24/2018 16:00:00,336.2,338.99,334.14,334.69,4205351
1/25/2018 16:00:00,336.21,343.62,335.3,343.11,4747478
1/26/2018 16:00:00,344.33,345.98,341.25,343.22,5236260
1/29/2018 16:00:00,341.23,344.48,340.1,340.82,3324878
1/30/2018 16:00:00,339.17,339.98,334.16,337.71,4983055
1/31/2018 16:00:00,360.5,360.97,351.62,354.37,11409626
2/1/2018 16:00:00,352.95,361.45,352.04,356.94,6067581
2/2/2018 16:00:00,354,355.2,348.7,348.91,5486074
2/5/2018 16:00:00,342.67,350,317.39,328.88,10511290
2/6/2018 16:00:00,320,341.67,317.65,340.91,11935140
2/7/2018 16:00:00,340.52,353.59,339.87,348.12,7946670
2/8/2018 16:00:00,348,349,329.4,329.66,8295905
2/9/2018 16:00:00,333.55,337.81,319.25,332.83,8832974
2/12/2018 16:00:00,336.57,347.75,335.13,343.8,6885010
2/13/2018 16:00:00,340.45,347.88,340.29,343.16,4030233
2/14/2018 16:00:00,341.34,347.43,341.17,344.85,4340180
2/15/2018 16:00:00,348.47,356.55,348.05,356.46,5827488
2/16/2018 16:00:00,356.59,359.5,353.51,355.04,5211615
2/20/2018 16:00:00,352,357.79,351.4,353.35,4303395
2/21/2018 16:00:00,352.56,360.81,351.75,352.37,5258555
2/22/2018 16:00:00,354.65,358.07,352.64,355.92,3414299
2/23/2018 16:00:00,358.18,358.77,353.07,356.66,3355378
2/26/2018 16:00:00,359.5,364.05,358.21,363.48,4148132
2/27/2018 16:00:00,364.6,369.89,363.3,364.64,4774134
2/28/2018 16:00:00,366.8,371.6,362.21,362.21,5472898
3/1/2018 16:00:00,362.33,362.74,346.4,349.69,8977971
3/2/2018 16:00:00,341.82,346.09,335.3,344.67,10021332
3/5/2018 16:00:00,338,354.77,336.61,352.75,8140161
3/6/2018 16:00:00,354.24,355.21,346.02,348.92,4888282
3/7/2018 16:00:00,341.52,348.41,339.5,347.04,4575690
3/8/2018 16:00:00,349.51,352.5,343.95,348.73,4319915
3/9/2018 16:00:00,352.65,354.89,350.23,354.52,3538348
3/12/2018 16:00:00,355.2,355.23,343.26,344.19,6088821
3/13/2018 16:00:00,345.32,347.88,337.61,338.67,5443789
3/14/2018 16:00:00,339.79,340.52,322.3,330.26,13057904
3/15/2018 16:00:00,332.3,332.92,322.91,329.98,8766002
3/16/2018 16:00:00,329.82,330.83,325.63,330.47,9328976
3/19/2018 16:00:00,327.45,333.33,326.78,331.76,6328878
3/20/2018 16:00:00,331.84,339.7,331,337.63,6500507
3/21/2018 16:00:00,337.07,341.91,335.17,337.1,4056304
3/22/2018 16:00:00,330.11,332.68,319.01,319.61,7282165
3/23/2018 16:00:00,320.15,331.14,318.32,321,7237471
3/26/2018 16:00:00,330.48,331.94,323.59,328.97,5392886
3/27/2018 16:00:00,331.51,334.88,319,321.12,5355543
3/28/2018 16:00:00,321.85,323.24,311.17,320.02,5634676
3/29/2018 16:00:00,323.38,330.48,322,327.88,3652078
4/2/2018 16:00:00,325.2,329.94,317.17,322.44,5024944
4/3/2018 16:00:00,324.76,331.1,323.09,330.82,4783125
4/4/2018 16:00:00,312.3,327.81,311.88,327.44,8235741
4/5/2018 16:00:00,330.59,338.96,330.26,336.4,6219981
4/6/2018 16:00:00,330.61,334.59,322.21,326.12,5713613
4/9/2018 16:00:00,332.25,334.88,322.05,322.48,4931728
4/10/2018 16:00:00,331.35,336.69,329.55,334.83,5618139
4/11/2018 16:00:00,331.6,337.57,326.31,327.36,4573530
4/12/2018 16:00:00,331.98,338.35,330.46,337.48,4325027
4/13/2018 16:00:00,338.99,339.67,326.6,329.28,4733463
4/16/2018 16:00:00,332.34,333.22,327.63,331.77,3901401
4/17/2018 16:00:00,334.73,339.74,333.65,336.72,3381788
4/18/2018 16:00:00,338.33,342.4,337.18,341,3117476
4/19/2018 16:00:00,340.19,342.41,337.5,340.64,3006774
4/20/2018 16:00:00,340.73,341.4,335.05,338.67,3038031
4/23/2018 16:00:00,339.55,341.26,336,338.84,2765647
4/24/2018 16:00:00,343.17,347.67,323.28,329.06,7051820
4/25/2018 16:00:00,338.12,344.91,330.52,342.86,11023624
4/26/2018 16:00:00,344.01,345.65,338.33,342.79,5273622
4/27/2018 16:00:00,341.25,342.92,337.77,340.88,3390364
4/30/2018 16:00:00,341.17,342.58,333.4,333.56,3721638
5/1/2018 16:00:00,332.5,333.91,324.18,329.54,4313094
5/2/2018 16:00:00,329.5,330.71,323.98,324.19,3436125
5/3/2018 16:00:00,322.97,332.63,319.13,330.69,6383211
5/4/2018 16:00:00,328.04,335.89,328.04,334.43,3655069
5/7/2018 16:00:00,335.23,342.98,335.21,340.43,4192224
5/8/2018 16:00:00,339.77,341.94,336.61,338.37,4014096
5/9/2018 16:00:00,339.49,346.93,338.58,344.5,4347023
5/10/2018 16:00:00,343.99,348.57,342.41,344.07,3920357
5/11/2018 16:00:00,343.77,345.42,341.05,342.46,2332170
5/14/2018 16:00:00,344,347.74,343.89,344.59,2520267
5/15/2018 16:00:00,343,343.85,340.26,342.12,3009053
5/16/2018 16:00:00,342,343.56,340.3,340.97,2230068
5/17/2018 16:00:00,340.47,344.77,340.25,344.14,2483301
5/18/2018 16:00:00,345.6,352.05,345.19,351.23,4327659
5/21/2018 16:00:00,358.46,365,358.45,363.92,6785369
5/22/2018 16:00:00,364,364.85,354.52,355.02,5389360
5/23/2018 16:00:00,352.28,359.6,351.62,359.21,4497516
5/24/2018 16:00:00,358.45,360.66,354.37,359,3932085
5/25/2018 16:00:00,358.12,360.6,357.05,360.09,2463737
5/29/2018 16:00:00,357.71,360.97,350.66,352.48,4249593
5/30/2018 16:00:00,355.65,358.92,354.1,358.19,2825188
5/31/2018 16:00:00,355.65,358.92,354.1,358.19,5612
6/1/2018 16:00:00,355.79,358.15,354.46,356.72,2657837
6/4/2018 16:00:00,358.97,363.39,358.85,360.73,2950284
6/5/2018 16:00:00,360.5,363.37,358.85,360.1,2567758
6/6/2018 16:00:00,362.46,371.6,360.99,371.56,4488412
6/7/2018 16:00:00,372,374.48,366.05,368.53,4517844
6/8/2018 16:00:00,368.14,371.42,365.46,369.5,3292875
6/11/2018 16:00:00,371,373.33,368.8,370.94,2468521
6/12/2018 16:00:00,371.24,372.73,367.99,370.62,2440354
6/13/2018 16:00:00,370.67,371,363.29,363.85,3867642
6/14/2018 16:00:00,366.15,367.64,358.83,362.42,4039532
6/15/2018 16:00:00,358.15,361.66,353.47,357.88,9945956
6/18/2018 16:00:00,353.19,357.65,352.37,354.74,3363221
6/19/2018 16:00:00,347.17,347.17,338.57,341.12,6857338
6/20/2018 16:00:00,346,346.98,340.46,342.69,4539988
6/21/2018 16:00:00,341.15,341.15,336.2,337.66,4048336
6/22/2018 16:00:00,340.43,340.94,336.6,338.91,3298084
6/25/2018 16:00:00,332.52,333.85,327.6,331.2,5006203
6/26/2018 16:00:00,332.39,334.4,330.48,331.3,3112387
6/27/2018 16:00:00,334.85,341.42,329.76,329.82,4578908
6/28/2018 16:00:00,330,337.54,327.29,334.65,3347973
6/29/2018 16:00:00,337.19,340,335.36,335.51,3154812
7/2/2018 16:00:00,330.69,336.33,329.32,336.08,2820817
7/3/2018 13:00:00,338.18,339.69,332,332.93,1464360
7/5/2018 16:00:00,336.15,337.28,329.1,333.18,2427866
7/6/2018 16:00:00,332.84,336.1,330.45,334.64,2138162
7/9/2018 16:00:00,337.5,343.04,336.51,341.92,3128698
7/10/2018 16:00:00,342.78,348,342.78,347.16,3278253
7/11/2018 16:00:00,341.73,344.39,339.19,340.6,3056866
7/12/2018 16:00:00,345.28,346.6,342.74,346.03,2030678
7/13/2018 16:00:00,347,351.24,346.2,350.79,2281610
7/16/2018 16:00:00,353.97,356.34,352.35,356.1,2889033
7/17/2018 16:00:00,357.61,359,355.04,356.88,2730514
7/18/2018 16:00:00,359,361.86,354.26,360.23,3090089
7/19/2018 16:00:00,357.69,359.39,355.26,355.33,2711744
7/20/2018 16:00:00,353.04,356.99,353,354.9,1817836
7/23/2018 16:00:00,355,355,352.39,353.27,1943747
7/24/2018 16:00:00,356.75,359.47,354.64,358.27,3181965
7/25/2018 16:00:00,351.52,356.3,345.5,355.92,7353046
7/26/2018 16:00:00,355.38,360.2,355.27,359.32,3191189
7/27/2018 16:00:00,361.06,364.54,359.47,360.65,2916341
7/30/2018 16:00:00,361.99,362.45,350.47,351.06,3080445
7/31/2018 16:00:00,354.38,359.02,354.06,356.3,2728366
8/1/2018 16:00:00,354.09,357.91,350.5,352.76,2718206
8/2/2018 16:00:00,348.62,350.73,346.03,349.73,2655906
8/3/2018 16:00:00,349.5,350.99,345.67,348.44,2285202
8/6/2018 16:00:00,347.37,347.37,343.12,346.57,3251105
8/7/2018 16:00:00,348.05,352.12,345.5,350.76,2267560
8/8/2018 16:00:00,350.5,351.62,346.25,347.78,2334439
8/9/2018 16:00:00,346.07,346.84,343.12,343.72,2302126
8/10/2018 16:00:00,341,341,336.45,339.41,2745697
8/13/2018 16:00:00,339.6,342.15,337.34,338.36,1877248
8/14/2018 16:00:00,339.12,340.15,337.62,339.14,2017276
8/15/2018 16:00:00,336.57,337.14,328.03,331.76,3798600
8/16/2018 16:00:00,339.06,347.72,338.3,345.98,5867939
8/17/2018 16:00:00,346,348.5,341.67,346.4,3069190
8/20/2018 16:00:00,348.6,352.61,347.1,350.74,3018615
8/21/2018 16:00:00,351,354.45,349.63,353.77,2967175
8/22/2018 16:00:00,354.32,355.87,349.84,350.03,2682942
8/23/2018 16:00:00,349.15,350.28,345.46,347.48,1833449
8/24/2018 16:00:00,348.77,350.63,348.1,349.38,1954540
8/27/2018 16:00:00,352.11,355,351.01,353.74,2279949
8/28/2018 16:00:00,355,355.68,350.61,351.21,2475095
8/29/2018 16:00:00,352.26,352.35,349.21,350.19,1850054
8/30/2018 16:00:00,350.35,350.95,345.75,346.9,3257668
8/31/2018 16:00:00,345.05,345.85,341.58,342.79,3462692
9/4/2018 16:00:00,341.6,346.32,339.28,346.25,2699402
9/5/2018 16:00:00,345.77,347.25,343.16,346.68,2959269
9/6/2018 16:00:00,347.55,353.35,346.58,351.27,3585876
9/7/2018 16:00:00,348.82,350.01,344.46,349.28,3921887
9/10/2018 16:00:00,349.49,350.75,341.68,341.86,3065489
9/11/2018 16:00:00,339.01,346.62,337.31,345.25,2731777
9/12/2018 16:00:00,345,355.04,344.61,353.41,4003834
9/13/2018 16:00:00,356.36,360.42,354.3,355.46,3166512
9/14/2018 16:00:00,356.44,362.26,356.1,359.8,2835757
9/17/2018 16:00:00,359.28,361.3,354.54,355.96,2554461
9/18/2018 16:00:00,357.3,365.81,356.1,363.58,3003512
9/19/2018 16:00:00,363.58,371.23,363.19,365.22,4753410
9/20/2018 16:00:00,368.74,371.73,365.67,367.46,4011062
9/21/2018 16:00:00,369.4,372.57,366.05,372.23,7144087
9/24/2018 16:00:00,371,371.89,367.33,367.99,2800161
9/25/2018 16:00:00,369.08,370.46,366.88,367.23,2969159
9/26/2018 16:00:00,367.5,368.56,364.32,365.03,2368637
9/27/2018 16:00:00,368.4,368.97,364.4,367.39,2355918
9/28/2018 16:00:00,368.63,374.22,366.22,371.9,3600472
10/1/2018 16:00:00,375.16,383.21,375,382.29,4758417
10/2/2018 16:00:00,380.85,388.62,379.77,386.37,4622595
10/3/2018 16:00:00,388.9,394.28,386.69,392.3,4794263
10/4/2018 16:00:00,390.74,391.09,385.29,389.99,3822324
10/5/2018 16:00:00,389,392.39,383.03,386.47,2899663
10/8/2018 16:00:00,383.84,386.73,377.35,385.77,3324019
10/9/2018 16:00:00,384.37,386.82,381.14,385.44,2862707
10/10/2018 16:00:00,382.96,383.8,367.09,367.47,6033088
10/11/2018 16:00:00,363.44,369.85,355.1,358.11,6266751
10/12/2018 16:00:00,366.01,367.12,352.26,360.11,5509720
10/15/2018 16:00:00,359.46,362.55,355.5,358.88,2979835
10/16/2018 16:00:00,360.45,368.57,358.55,368.25,2822482
10/17/2018 16:00:00,368,368.5,362.7,365.5,2238186
10/18/2018 16:00:00,364.82,367.76,356.76,359.35,3254902
10/19/2018 16:00:00,359.8,359.87,354.21,356.26,3491612
10/22/2018 16:00:00,357.85,358.76,352.46,355.98,2263527
10/23/2018 16:00:00,349.5,353.56,342.83,350.05,4389559
10/24/2018 16:00:00,361.59,364.6,351.69,354.65,8442563
10/25/2018 16:00:00,357.3,364.39,354.97,363.77,4003484
10/26/2018 16:00:00,360.7,363.3,354.12,359.27,4073415
10/29/2018 16:00:00,360.55,361.71,328.63,335.59,7461953
10/30/2018 16:00:00,330.35,351.05,329.77,349.91,5773971
10/31/2018 16:00:00,352.51,363.41,352.51,354.86,4175570
11/1/2018 16:00:00,357.47,364.57,353.2,363.07,3760650
11/2/2018 16:00:00,366.97,371.54,356.76,357.75,4029826
11/5/2018 16:00:00,359.76,363.29,356.48,361.98,2253943
11/6/2018 16:00:00,362.41,368.44,362.11,366.47,2471898
11/7/2018 16:00:00,367.64,372.85,359.5,372.02,4015255
11/8/2018 16:00:00,369.33,373.7,365.55,370.77,2752001
11/9/2018 16:00:00,367.83,371,366.12,369.34,2590303
11/12/2018 16:00:00,370.21,370.48,355.99,357.03,3088654
11/13/2018 16:00:00,349.55,355.38,342.04,349.51,4959999
11/14/2018 16:00:00,352.09,355.85,343.89,344.72,3445838
11/15/2018 16:00:00,341.12,347.98,336.51,341.57,4863046
11/16/2018 16:00:00,339,340.19,331.16,335.95,4425161
11/19/2018 16:00:00,335.55,336.04,317.2,320.94,6782767
11/20/2018 16:00:00,302.1,322.18,296.61,317.7,6875884
11/21/2018 16:00:00,325.07,326.89,315.57,317.32,4401044
11/23/2018 13:00:00,315,317,311.87,312.32,1599381
11/26/2018 16:00:00,315.56,318.59,310.66,316.36,3362345
11/27/2018 16:00:00,315.28,318.56,310.96,318.03,2946391
11/28/2018 16:00:00,325.72,334.01,321.73,333.5,6117572
11/29/2018 16:00:00,335.97,343.23,334.06,342.56,5331919
11/30/2018 16:00:00,341.94,347.58,337.5,346.76,5373981
12/3/2018 16:00:00,364.31,369,356.37,359.96,6569067
12/4/2018 16:00:00,357,358.32,341.74,342.5,5199096
12/6/2018 16:00:00,329.99,333.63,317.3,331.9,9297449
12/7/2018 16:00:00,332.35,337.61,321.39,323.22,4526264
12/10/2018 16:00:00,321.27,327.2,315.51,326.35,4400518
12/11/2018 16:00:00,333.25,334.49,318.75,322.03,3566436
12/12/2018 16:00:00,327.38,331.9,324.66,326.69,3424818
12/13/2018 16:00:00,328.4,328.74,324.17,325.47,2247706
12/14/2018 16:00:00,322.45,323.91,315.56,318.75,3298436
12/17/2018 16:00:00,316.91,327.22,314.44,316.13,4968366
12/18/2018 16:00:00,325.46,332.09,323.2,328.06,5881140
12/19/2018 16:00:00,329.33,333.48,316.1,319.55,4871468
12/20/2018 16:00:00,317,321.82,308,313.05,5368592
12/21/2018 16:00:00,309.09,314.97,304.01,304.55,7641721
12/24/2018 13:00:00,300.65,303,294.16,294.16,3435304
12/26/2018 16:00:00,298.61,314.09,292.47,313.93,4843401
12/27/2018 16:00:00,309.04,317.14,302.24,317.14,4341113
12/28/2018 16:00:00,319.74,321.53,315.15,316.38,3725171
12/31/2018 16:00:00,320.5,323.64,318.75,322.5,3557691
1/2/2019 16:00:00,316.19,323.95,313.71,323.81,3292204
1/3/2019 16:00:00,319.49,319.74,309.4,310.9,5705567
1/4/2019 16:00:00,316.69,328.44,316.08,327.08,4448759
1/7/2019 16:00:00,330.52,330.69,323.35,328.11,4030280
1/8/2019 16:00:00,334.11,341.25,332.65,340.53,4736472
1/9/2019 16:00:00,342.96,347.2,340.87,343.83,4213870
1/10/2019 16:00:00,346.51,353.47,343,352.61,5358117
1/11/2019 16:00:00,348.56,354.36,348.09,352.9,3158852
1/14/2019 16:00:00,348.2,352.81,347.01,350.36,2476367
1/15/2019 16:00:00,352,353.32,347.98,352.24,2940908
1/16/2019 16:00:00,352.5,355,351.56,352.06,2731082
1/17/2019 16:00:00,350.75,363.83,350.73,359.09,4270365
1/18/2019 16:00:00,363.88,367.32,361.32,364.73,4256505
1/22/2019 16:00:00,362.86,364.2,354.23,357.9,4336541
1/23/2019 16:00:00,361.91,362.2,353.67,358.61,2924874
1/24/2019 16:00:00,358.91,363.18,356.9,358.27,2801392
1/25/2019 16:00:00,362.49,366.94,360.33,364.2,3190425
1/28/2019 16:00:00,360.65,363.17,357.5,362.97,3128884
1/29/2019 16:00:00,363.07,367.78,362.41,364.91,3202652
1/30/2019 16:00:00,387.4,391.97,380.5,387.72,12705305
1/31/2019 16:00:00,387.16,388.99,382.08,385.62,6878455
2/1/2019 16:00:00,386.11,392.8,384.73,387.43,5625749
2/4/2019 16:00:00,388.97,397.07,388.12,397,4256562
2/5/2019 16:00:00,400.75,410.75,399.55,410.18,7230380
2/6/2019 16:00:00,411.51,413.88,405.66,411.11,5356025
2/7/2019 16:00:00,407.93,410.35,402.29,405.17,5211412
2/8/2019 16:00:00,400,404.96,397.8,404.91,4570946
2/11/2019 16:00:00,408.1,409.83,402.69,403.95,3046932
2/12/2019 16:00:00,407,411.21,405.4,410.72,3263321
2/13/2019 16:00:00,412.52,412.72,407.67,410.58,3078692
2/14/2019 16:00:00,408.93,412.22,407.8,409.82,2724260
2/15/2019 16:00:00,412.48,418.05,411.43,417.97,4017338
2/19/2019 16:00:00,415.5,417.94,414.54,416.26,3051459
2/20/2019 16:00:00,417.14,421.84,417.11,421.55,3990102
2/21/2019 16:00:00,421.58,422.41,415.68,417.58,2880474
2/22/2019 16:00:00,419.7,424.47,419.14,424.05,3132298
2/25/2019 16:00:00,427.49,429.92,426.52,426.87,3276050
2/26/2019 16:00:00,426,429,424.25,426.77,2503684
2/27/2019 16:00:00,427.17,436.33,427.15,435.44,4603847
2/28/2019 16:00:00,438.7,441.42,437.08,439.96,5063147
3/1/2019 16:00:00,446.01,446.01,440.19,440.62,5124178
3/4/2019 16:00:00,443.22,444.5,426.63,432.69,5971042
3/5/2019 16:00:00,431.04,433.85,428.64,430.12,2844273
3/6/2019 16:00:00,429.7,432,422.08,424.46,4159385
3/7/2019 16:00:00,423.36,427.7,416.44,422.56,4893598
3/8/2019 16:00:00,416.77,423.43,415.5,422.54,3794945
3/11/2019 16:00:00,371.27,402.67,365.55,400.01,34742186
3/12/2019 16:00:00,384.71,390,368,375.41,36922592
3/13/2019 16:00:00,378.43,381.77,363.33,377.14,32662252
3/14/2019 16:00:00,374.99,380.39,372.1,373.3,13514057
3/15/2019 16:00:00,370.88,385.71,366.45,378.99,26697712
3/18/2019 16:00:00,370,373.07,367.2,372.28,13119208
3/19/2019 16:00:00,371.14,378.77,371.01,373.43,9856108
3/20/2019 16:00:00,374.7,380.8,373.68,376.16,8737593
3/21/2019 16:00:00,374.04,377,372.23,372.7,6950985
3/22/2019 16:00:00,368.79,369.86,361.53,362.17,10143922
3/25/2019 16:00:00,365,371.21,362.89,370.46,7939602
3/26/2019 16:00:00,375.58,375.6,367.6,370.38,6479729
3/27/2019 16:00:00,371.89,376.66,365.55,374.21,9599957
3/28/2019 16:00:00,376.6,376.66,372.33,374.44,4921337
3/29/2019 16:00:00,376.52,382.18,374.74,381.42,7694707
4/1/2019 16:00:00,385.8,392.9,383.1,391.54,7735719
4/2/2019 16:00:00,388.5,394.83,388.5,390.75,6401023
4/3/2019 16:00:00,389.68,391.54,384.07,384.74,7350347
4/4/2019 16:00:00,385.99,397.06,385.1,395.86,9388082
4/5/2019 16:00:00,398.07,398.66,390.95,391.93,6857151
4/8/2019 16:00:00,376.2,379.8,371.86,374.52,14482604
4/9/2019 16:00:00,370.29,372.24,367.75,369.04,7980062
4/10/2019 16:00:00,368.4,368.79,362.92,364.94,8284959
4/11/2019 16:00:00,364.62,371.08,364.21,370.16,6598367
4/12/2019 16:00:00,375.75,379.95,372,379.64,7334644
4/15/2019 16:00:00,376.7,377.9,373.68,375.46,3822079
4/16/2019 16:00:00,376.51,384.64,375.03,381.72,7083834
4/17/2019 16:00:00,384.1,384.19,377.48,377.52,4424421
4/18/2019 16:00:00,377.52,382.17,377.52,380.07,4703105
4/22/2019 16:00:00,375.69,378.95,374.9,375.17,4147652
4/23/2019 16:00:00,375.54,376.87,372.61,374.02,4894517
4/24/2019 16:00:00,377.89,381.15,373.66,375.46,9855141
4/25/2019 16:00:00,376.01,384.8,372.76,382.8,6614992
4/26/2019 16:00:00,383.89,384,378.14,380.79,4259621
4/29/2019 16:00:00,378.49,385.3,376.76,379.05,5457300
4/30/2019 16:00:00,379.5,381.14,375.05,377.69,3732809
5/1/2019 16:00:00,378.53,381.2,376.38,376.8,2765572
5/2/2019 16:00:00,375.5,377.65,373.25,375.8,2438759
5/3/2019 16:00:00,376.08,377.9,374.22,376.46,2953838
5/6/2019 16:00:00,367.88,372.48,365.63,371.6,4747601
5/7/2019 16:00:00,366.33,367.71,355.02,357.23,9740301
5/8/2019 16:00:00,357.77,361.52,353.33,359.75,6029997
5/9/2019 16:00:00,354.76,355.65,347.47,354.13,6075156
5/10/2019 16:00:00,351.87,355.54,347.55,354.67,4574070
5/13/2019 16:00:00,344.51,346.63,337,337.37,7757832
5/14/2019 16:00:00,339.9,346.1,337.23,343.04,4747753
5/15/2019 16:00:00,339.8,348.8,337.64,345.64,4809967
