Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,158.3,159.39,156.03,157.04,5108362
1/3/2018 16:00:00,157.04,157.49,155.4,157.28,4146054
1/4/2018 16:00:00,157.89,159.58,157.02,159.44,4865769
1/5/2018 16:00:00,160.26,162.05,159.64,161.96,3945401
1/8/2018 16:00:00,164.11,166.43,162.55,166.03,5929202
1/9/2018 16:00:00,166.33,167.41,165.09,166.43,4522913
1/10/2018 16:00:00,165.9,167.53,164.5,165.87,5478633
1/11/2018 16:00:00,166.9,169.53,165.64,169.2,4198990
1/12/2018 16:00:00,169.99,170.67,169.23,170.3,4127913
1/16/2018 16:00:00,172.9,173.24,167.57,169.31,8530572
1/17/2018 16:00:00,169.32,170.11,168.5,168.5,5571411
1/18/2018 16:00:00,169.33,170.76,168.09,168.83,4668825
1/19/2018 16:00:00,169.63,170.45,168.61,170.41,5796683
1/22/2018 16:00:00,170.32,170.91,168.48,170.89,3540941
1/23/2018 16:00:00,172,172.05,169.2,169.43,5036456
1/24/2018 16:00:00,171.4,172.45,167.67,168.34,8240960
1/25/2018 16:00:00,173.1,173.1,162.46,169.37,16937125
1/26/2018 16:00:00,168.81,169,164.55,167.06,9045259
1/29/2018 16:00:00,165.58,165.88,159.42,162.58,9496821
1/30/2018 16:00:00,160.33,164.71,159.81,163.76,8694776
1/31/2018 16:00:00,164.7,165.79,161.89,162.78,7013992
2/1/2018 16:00:00,161.24,163.74,160.18,162.24,4323603
2/2/2018 16:00:00,160.77,160.8,156.53,157.49,7602821
2/5/2018 16:00:00,154.93,158.93,142.85,151.08,11390549
2/6/2018 16:00:00,148.07,156.56,146.81,156.41,13908666
2/7/2018 16:00:00,155.36,158.09,154.28,154.34,7156489
2/8/2018 16:00:00,153.85,154.19,145.92,145.99,9101934
2/9/2018 16:00:00,148.71,150.89,142.88,149.21,9528067
2/12/2018 16:00:00,151.87,153.45,150.25,152.29,5756787
2/13/2018 16:00:00,151.25,155.2,151,153.97,5512149
2/14/2018 16:00:00,152.39,158.59,152.34,158.06,5560057
2/15/2018 16:00:00,159.8,160.34,157.48,159.98,4914500
2/16/2018 16:00:00,160.13,161,156.09,156.29,5991556
2/20/2018 16:00:00,155.17,158.25,154.27,155.56,5094572
2/21/2018 16:00:00,155.7,158.4,155.04,155.23,4179354
2/22/2018 16:00:00,156.41,159.78,156.2,158.86,4723266
2/23/2018 16:00:00,159.4,162.48,159.22,162.41,4450847
2/26/2018 16:00:00,163.05,164.05,161.55,163.69,6254350
2/27/2018 16:00:00,163.26,164.6,161.24,161.26,4127704
2/28/2018 16:00:00,161.5,162.34,154.17,154.63,7298582
3/1/2018 16:00:00,153.67,156.19,148.51,150.23,9434816
3/2/2018 16:00:00,149.13,149.88,145.86,146.38,9509411
3/5/2018 16:00:00,145.15,151.86,144.01,151.12,8453004
3/6/2018 16:00:00,152.64,154.98,151.67,153.75,5795581
3/7/2018 16:00:00,150,152.27,148.81,151.51,5491026
3/8/2018 16:00:00,151.73,153.97,150.29,153.59,4105005
3/9/2018 16:00:00,155.12,158.42,154.33,158.25,4576744
3/12/2018 16:00:00,158.24,159.34,153.85,154.5,4880417
3/13/2018 16:00:00,156.3,157.87,153.2,153.69,4819119
3/14/2018 16:00:00,154.8,155.25,151.31,152.54,4873575
3/15/2018 16:00:00,153.18,155.59,151.65,154.57,5268844
3/16/2018 16:00:00,154.32,157.45,153.31,156.46,10897566
