Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,108.95,111.81,108.56,111.8,11014303
1/3/2018 16:00:00,112.19,113.19,111.45,112.28,9237926
1/4/2018 16:00:00,112.95,113,111.63,112.23,7417409
1/5/2018 16:00:00,112.68,112.68,111.24,111.62,6008285
1/8/2018 16:00:00,110.89,111.28,109.54,110.02,8052594
1/9/2018 16:00:00,110.13,110.86,109.86,109.94,5838021
1/10/2018 16:00:00,109.96,110.5,109.01,109.47,6059991
1/11/2018 16:00:00,110.25,111.08,109.51,110.99,6426959
1/12/2018 16:00:00,111.32,112.72,111,112.47,5899861
1/16/2018 16:00:00,113.07,113.16,110.62,110.69,8069201
1/17/2018 16:00:00,111.2,112.21,110.57,111.97,7030711
1/18/2018 16:00:00,111.74,111.99,110.2,110.42,8070928
1/19/2018 16:00:00,110.97,111.09,109.84,110.59,10514262
1/22/2018 16:00:00,110.27,111.56,110.06,111.1,8073624
1/23/2018 16:00:00,110.27,111.14,109.89,110.41,7477282
1/24/2018 16:00:00,110.96,111.43,110.29,110.5,7211784
1/25/2018 16:00:00,110.6,111.82,110.12,110.55,6291011
1/26/2018 16:00:00,110.81,112.53,110.67,112.19,7743825
1/29/2018 16:00:00,112.1,112.45,111.24,111.54,6847766
1/30/2018 16:00:00,111.42,112.42,110.1,110.11,8393878
1/31/2018 16:00:00,110.08,110.12,108.47,108.67,9841413
2/1/2018 16:00:00,108.62,110.65,107.36,110.49,9518857
2/2/2018 16:00:00,109.95,110.58,108.45,108.7,9947657
2/5/2018 16:00:00,107.1,108.63,104.01,104.7,15107942
2/6/2018 16:00:00,102.88,106.2,101.76,106.17,17765068
2/7/2018 16:00:00,107.83,108.03,104.41,104.76,12444982
2/8/2018 16:00:00,105.47,105.82,101.19,101.35,12667500
2/9/2018 16:00:00,102.55,103.75,100.26,103.09,12479727
2/12/2018 16:00:00,103.93,104.64,102.1,103.39,9584727
2/13/2018 16:00:00,102.64,104.31,102.4,104.12,8447868
2/14/2018 16:00:00,103.49,104.76,102.69,104.6,7425685
2/15/2018 16:00:00,105.36,105.57,103.93,105.18,6494683
2/16/2018 16:00:00,105.19,107.35,105.19,106.53,8746390
2/20/2018 16:00:00,106.37,107.57,105.52,105.98,6734505
2/21/2018 16:00:00,106,106.91,105.02,105.05,6743262
2/22/2018 16:00:00,105.31,106.01,104.93,105.24,4462165
2/23/2018 16:00:00,105.75,107.36,105.43,107.25,6101126
2/26/2018 16:00:00,108,109.81,107.67,109.81,8138181
2/27/2018 16:00:00,108,108.16,104.85,104.87,14179597
2/28/2018 16:00:00,105.45,105.57,103.14,103.16,10760757
3/1/2018 16:00:00,103.2,104.03,101.33,102.57,10487306
3/2/2018 16:00:00,102,103.17,101.44,102.99,7835408
3/5/2018 16:00:00,102.71,103.97,102.42,103.41,5736713
3/6/2018 16:00:00,104,104.95,103.51,104.94,6216200
3/7/2018 16:00:00,103.72,104.24,102.77,103.59,6214836
3/8/2018 16:00:00,103.99,104.59,103.47,104.03,6626981
3/9/2018 16:00:00,104.43,104.75,103.64,104.73,5618412
3/12/2018 16:00:00,104.72,105.94,104.72,105.17,6485284
3/13/2018 16:00:00,105.83,105.83,103.42,103.73,6716697
3/14/2018 16:00:00,104.53,104.65,103.47,103.9,6235877
3/15/2018 16:00:00,104,104.29,103.24,103.24,5174578
3/16/2018 16:00:00,103.56,104.27,102.84,102.87,10467983
3/19/2018 16:00:00,102.8,102.95,101,101.48,6528320
3/20/2018 16:00:00,101.54,102.15,100.75,101.35,8330335
3/21/2018 16:00:00,101.5,102.94,101.42,101.82,6136431
3/22/2018 16:00:00,101.29,101.64,100.41,100.6,8911556
3/23/2018 16:00:00,100.85,101.11,98.45,98.54,7505075
3/26/2018 16:00:00,99.86,100.78,99.08,100.65,7340071
3/27/2018 16:00:00,100.88,101.18,98.89,99.36,7193524
3/28/2018 16:00:00,99.5,100.08,98.15,98.54,9099663
3/29/2018 16:00:00,99.01,101.28,98.86,100.44,9343626
4/2/2018 16:00:00,100.18,100.99,97.78,98.66,8203693
4/3/2018 16:00:00,98.8,99.49,97.7,99.42,8484678
4/4/2018 16:00:00,98.43,101.15,97.76,100.95,8759236
4/5/2018 16:00:00,101.36,102.38,100.98,102.11,6612756
4/6/2018 16:00:00,101.63,102.19,99.45,100.35,7162386
4/9/2018 16:00:00,100.7,101.51,99.58,99.7,7094275
4/10/2018 16:00:00,100.92,101.53,100.32,101.37,8324350
4/11/2018 16:00:00,100.78,101.65,100.41,100.8,6304996
4/12/2018 16:00:00,101.42,101.51,99.68,100.39,7337808
4/13/2018 16:00:00,101,101.52,100.16,100.35,6324606
4/16/2018 16:00:00,100.69,101,99.73,100.24,10328002
4/17/2018 16:00:00,101.2,102.59,100.75,102.17,9577384
4/18/2018 16:00:00,102.67,102.71,101.2,101.21,5822056
4/19/2018 16:00:00,101,101.58,100.22,100.89,6803405
4/20/2018 16:00:00,101.18,101.4,99.91,100.24,6396903
4/23/2018 16:00:00,100.55,100.72,99.53,100.15,5889804
4/24/2018 16:00:00,100.58,100.85,98.86,99.46,6567697
4/25/2018 16:00:00,99.5,101.49,99.05,101.15,8977748
4/26/2018 16:00:00,101.23,101.38,99.74,99.84,8038439
4/27/2018 16:00:00,99.78,99.99,98.94,99.23,8037978
4/30/2018 16:00:00,100.41,101.37,100.12,100.33,8558854
5/1/2018 16:00:00,100.18,100.7,98.93,100.06,6716152
5/2/2018 16:00:00,100.17,100.72,99.25,99.62,9286374
5/3/2018 16:00:00,99.11,99.25,97.68,98.76,10450776
5/4/2018 16:00:00,98.71,101.35,98.58,101.15,9980116
5/7/2018 16:00:00,102.35,102.68,101.72,102.48,10181123
5/8/2018 16:00:00,101.2,102.64,100.84,101.79,14229528
5/9/2018 16:00:00,102.25,102.27,99.3,99.97,18345683
5/10/2018 16:00:00,100.43,102.07,100.3,101.68,8927290
5/11/2018 16:00:00,101.89,102.21,101.26,102.07,7035978
