Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,107.63,108.02,106.81,107.95,13578835
1/3/2018 16:00:00,107.86,108.49,107.48,108.06,11901037
1/4/2018 16:00:00,108.36,110.03,108.2,109.04,12953656
1/5/2018 16:00:00,109.26,109.55,107.78,108.34,14154974
1/8/2018 16:00:00,108.15,108.68,107.7,108.5,12466512
1/9/2018 16:00:00,108.72,109.63,108.49,109.05,13292310
1/10/2018 16:00:00,109.47,110.7,109.39,110.25,15834468
1/11/2018 16:00:00,110.67,110.93,110.05,110.84,13676788
1/12/2018 16:00:00,111.65,112.85,110.84,112.67,18884229
1/16/2018 16:00:00,111.51,113.43,111.07,112.27,22703336
1/17/2018 16:00:00,111.89,113.3,111.31,112.99,14940266
1/18/2018 16:00:00,112.76,113.72,112.27,113.26,14572911
1/19/2018 16:00:00,113.94,114.34,112.8,113.01,18785468
1/22/2018 16:00:00,112.66,114.39,112.5,114.33,12475654
1/23/2018 16:00:00,113.67,114.64,113.35,114.21,12320751
1/24/2018 16:00:00,114.86,116,114.66,115.67,15904504
1/25/2018 16:00:00,116.04,116.17,115.08,115.7,13509957
1/26/2018 16:00:00,115.7,116.32,114.96,116.32,13883875
1/29/2018 16:00:00,116.02,117.35,116.02,116.2,11679919
1/30/2018 16:00:00,115.53,116.6,114.98,115.11,14279124
1/31/2018 16:00:00,115.65,116.66,115.16,115.67,13141423
2/1/2018 16:00:00,115.77,116.99,115.48,116.87,13800613
2/2/2018 16:00:00,116.49,116.92,114.09,114.28,16477307
2/5/2018 16:00:00,113,114.59,103.98,108.8,30097591
2/6/2018 16:00:00,106.85,112.48,106.61,112.11,33114833
2/7/2018 16:00:00,111.55,114.45,111.15,112.87,21878324
2/8/2018 16:00:00,113.11,113.11,107.84,107.88,27425837
2/9/2018 16:00:00,109.1,111.05,106.23,110.04,28188027
2/12/2018 16:00:00,111.17,112.73,110.07,111.74,18043325
2/13/2018 16:00:00,111.32,113.05,110.8,112.43,16358181
2/14/2018 16:00:00,112.63,115.27,112.53,115.03,15186858
2/15/2018 16:00:00,115.74,115.99,114.22,115.51,12130197
2/16/2018 16:00:00,114.55,116.07,114.5,114.68,13214253
2/20/2018 16:00:00,114.65,115.39,113.97,114.71,13461495
2/21/2018 16:00:00,115,117.45,114.67,115.19,14212461
2/22/2018 16:00:00,115.5,116.43,114.76,114.98,17070356
2/23/2018 16:00:00,115.31,117.39,115.31,117.31,12162523
2/26/2018 16:00:00,118.14,118.9,117.32,118.77,16511229
2/27/2018 16:00:00,118.91,119.33,117.35,117.36,17563345
2/28/2018 16:00:00,117.82,118.49,115.34,115.5,17735637
3/1/2018 16:00:00,115.48,116.64,112.65,113.43,18690017
3/2/2018 16:00:00,112.39,113.56,111.12,113.32,18353697
3/5/2018 16:00:00,112.05,115.93,111.89,115.06,13933039
3/6/2018 16:00:00,115.64,115.82,114.32,115.16,10674360
3/7/2018 16:00:00,113.75,115.1,113.11,114.73,13006514
3/8/2018 16:00:00,115.11,115.23,113.21,114.74,11173721
3/9/2018 16:00:00,116.55,118.08,115.67,118.04,15366583
3/12/2018 16:00:00,118,118.75,117.25,117.66,12339295
3/13/2018 16:00:00,118.2,118.47,115.83,116.25,13312340
3/14/2018 16:00:00,116.56,116.59,114.6,114.95,12905124
3/15/2018 16:00:00,115.87,116,114.83,115.24,8747977
3/16/2018 16:00:00,115.34,116.6,115.34,115.44,19888948
3/19/2018 16:00:00,115.1,115.45,113.3,114.53,13214919
3/20/2018 16:00:00,114.87,115.45,114.45,114.64,9921175
3/21/2018 16:00:00,114.81,116.63,114.21,114.74,13632983
3/22/2018 16:00:00,113.2,113.6,109.54,109.95,22550426
3/23/2018 16:00:00,110.27,110.92,106.76,107.01,23081509
3/26/2018 16:00:00,109.19,111.16,108.65,110.31,20217469
3/27/2018 16:00:00,111.07,111.69,107.3,108.17,18039921
3/28/2018 16:00:00,108.28,109.17,106.65,108,19189269
3/29/2018 16:00:00,108.5,110.78,107.78,109.97,13274639
4/2/2018 16:00:00,109.96,110.73,106.08,107.85,18822525
4/3/2018 16:00:00,108.36,109.5,107.26,109.33,14050737
4/4/2018 16:00:00,107.1,111.21,107.02,110.99,15302608
4/5/2018 16:00:00,111.63,112.83,111.39,111.88,16627035
4/6/2018 16:00:00,110.55,111.55,107.82,109.09,18906018
4/9/2018 16:00:00,110.01,112.98,109.89,110.4,15974349
4/10/2018 16:00:00,112.13,112.87,111.42,112.51,14003640
4/11/2018 16:00:00,111.66,111.81,110.52,110.62,14503294
4/12/2018 16:00:00,111.56,114.39,111.5,113.37,16435523
4/13/2018 16:00:00,115.02,115.15,109.05,110.3,39152760
4/16/2018 16:00:00,110.94,111.47,109.79,110.21,16580538
4/17/2018 16:00:00,111.37,111.92,109.99,110.21,15501350
