Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,45.91,45.94,45.51,45.54,10872178
1/3/2018 16:00:00,45.49,45.69,45.34,45.44,12635589
1/4/2018 16:00:00,45.56,46.22,45.45,46.08,12709370
1/5/2018 16:00:00,46.02,46.2,45.79,46.07,13113148
1/8/2018 16:00:00,45.95,46.1,45.88,46,7068611
1/9/2018 16:00:00,46,46.36,45.94,46.23,9962424
1/10/2018 16:00:00,46.23,46.26,45.93,46.07,10700671
1/11/2018 16:00:00,46.23,46.23,45.86,46.04,7583180
1/12/2018 16:00:00,46.28,46.39,46.03,46.15,14570149
1/16/2018 16:00:00,46.15,46.62,46.14,46.53,16459289
1/17/2018 16:00:00,46.58,47,46.55,46.82,12143081
1/18/2018 16:00:00,46.75,47.07,46.61,46.88,11952931
1/19/2018 16:00:00,46.99,47.25,46.87,47.16,16187425
1/22/2018 16:00:00,47.14,47.5,47.09,47.38,9577437
1/23/2018 16:00:00,47.21,47.7,47.13,47.45,11463742
1/24/2018 16:00:00,47.53,47.95,47.48,47.83,15964475
1/25/2018 16:00:00,47.7,48,47.7,47.84,11755001
1/26/2018 16:00:00,47.78,48.62,47.74,48.53,16671227
1/29/2018 16:00:00,48.21,48.46,47.58,47.7,11662632
1/30/2018 16:00:00,47.73,48.16,47.4,47.41,12404757
1/31/2018 16:00:00,47.45,47.9,47.37,47.59,10960082
2/1/2018 16:00:00,47.41,47.73,47.11,47.45,10279439
2/2/2018 16:00:00,47.35,47.41,46.63,46.73,12912307
2/5/2018 16:00:00,46.65,46.92,44.41,44.89,23261475
2/6/2018 16:00:00,43.87,44.74,43.44,44.67,25184306
2/7/2018 16:00:00,44.58,45.5,44.28,44.56,18041614
2/8/2018 16:00:00,44.62,44.62,43.07,43.1,23295329
2/9/2018 16:00:00,43.36,43.46,42.19,43.13,22853126
2/12/2018 16:00:00,43.56,44.23,43.37,43.97,14689026
2/13/2018 16:00:00,43.92,44.41,43.69,44.19,13163196
2/14/2018 16:00:00,44.02,44.19,43.63,44.1,13457911
2/15/2018 16:00:00,44.25,44.83,44.12,44.78,13467318
2/16/2018 16:00:00,45.57,45.64,44.72,44.98,17202302
2/20/2018 16:00:00,44.75,44.83,43.94,43.99,14137347
2/21/2018 16:00:00,44.11,44.26,43.33,43.34,12792902
2/22/2018 16:00:00,43.43,43.82,43.22,43.52,12377840
2/23/2018 16:00:00,43.58,44.06,43.42,44.04,8277178
2/26/2018 16:00:00,44.23,44.39,43.81,44.03,12713306
2/27/2018 16:00:00,44.15,44.31,43.62,43.62,12774392
2/28/2018 16:00:00,43.83,43.91,43.22,43.22,11929361
3/1/2018 16:00:00,43.1,43.64,42.82,43.43,17746825
3/2/2018 16:00:00,43.25,43.8,43.24,43.72,14050081
3/5/2018 16:00:00,43.57,43.94,43.5,43.89,11992712
3/6/2018 16:00:00,43.95,44.05,43.59,43.93,10010478
3/7/2018 16:00:00,43.59,43.92,43.47,43.82,10881683
3/8/2018 16:00:00,43.9,44.46,43.8,44.45,12361100
3/9/2018 16:00:00,44.57,44.82,44.39,44.82,9778643
3/12/2018 16:00:00,44.95,45.09,44.33,44.53,11857700
3/13/2018 16:00:00,44.67,44.83,44.4,44.57,11342136
3/14/2018 16:00:00,44.38,44.43,43.73,43.78,15321218
3/15/2018 16:00:00,43.88,44,43.55,43.67,12456712
3/16/2018 16:00:00,43.7,44.02,43.45,43.46,26603281
3/19/2018 16:00:00,43.46,43.71,43.18,43.26,12380290
3/20/2018 16:00:00,43.32,43.48,43.01,43.16,13559805
3/21/2018 16:00:00,43.13,43.45,42.79,43,13053980
3/22/2018 16:00:00,42.88,43.37,42.7,42.76,12274085
3/23/2018 16:00:00,42.82,43.16,42.29,42.33,13475205
3/26/2018 16:00:00,42.61,42.81,42.25,42.69,11276082
3/27/2018 16:00:00,42.7,43.31,42.53,42.89,11627041
3/28/2018 16:00:00,43,43.7,43,43.32,16277393
3/29/2018 16:00:00,43.54,43.92,43.29,43.43,10450497
4/2/2018 16:00:00,43.44,43.5,42.47,42.67,14207925
4/3/2018 16:00:00,42.98,43.54,42.84,43.38,15484644
4/4/2018 16:00:00,43.14,44.4,43.11,44.24,13563321
4/5/2018 16:00:00,44.28,44.61,43.94,44.4,11707816
4/6/2018 16:00:00,44.28,44.52,43.71,43.92,11495075
4/9/2018 16:00:00,44.03,44.31,43.78,43.83,11913408
4/10/2018 16:00:00,44.07,44.18,43.72,43.99,10687338
4/11/2018 16:00:00,43.81,44.14,43.76,43.99,8424265
4/12/2018 16:00:00,44.08,44.41,43.95,44.03,8476392
4/13/2018 16:00:00,44.19,44.69,44.14,44.51,10774160
4/16/2018 16:00:00,44.65,44.89,44.4,44.68,8962115
4/17/2018 16:00:00,44.95,45.03,44.65,44.88,8406404
4/18/2018 16:00:00,44.9,44.97,44.33,44.51,7429015
4/19/2018 16:00:00,44.34,44.47,44.02,44.31,10370411
4/20/2018 16:00:00,44.31,44.41,43.58,43.74,14690701
4/23/2018 16:00:00,43.74,43.99,43.56,43.98,11878473
4/24/2018 16:00:00,43.98,44.1,42.73,43.07,18523876
4/25/2018 16:00:00,42.74,42.89,41.91,42.43,20774725
4/26/2018 16:00:00,42.4,43.1,42.26,42.75,13560998
4/27/2018 16:00:00,42.73,43.34,42.71,43.31,9777912
