Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,173.73,174.48,172.66,173.22,3696871
1/3/2018 16:00:00,173.23,173.64,172,172.49,3789590
1/4/2018 16:00:00,173.24,174.13,172.73,173.7,2756369
1/5/2018 16:00:00,174,175,173.4,174.05,3737690
1/8/2018 16:00:00,173.74,174.21,172.93,173.93,2060827
1/9/2018 16:00:00,174.23,174.23,173.01,173.54,2674280
1/10/2018 16:00:00,173.5,174,172.47,173.51,2173176
1/11/2018 16:00:00,173.56,174.55,172.1,173.39,3077963
1/12/2018 16:00:00,173.36,173.79,172.88,173.57,2901615
1/16/2018 16:00:00,173.62,174.41,172.88,173.68,3662624
1/17/2018 16:00:00,174.35,175.69,173.88,174.98,4129573
1/18/2018 16:00:00,175.19,175.45,173.9,174.57,2154754
1/19/2018 16:00:00,174.99,176.64,174.38,176.12,3746267
1/22/2018 16:00:00,175.97,176.83,175.61,176.21,3217879
1/23/2018 16:00:00,175.57,177.75,174.85,176.81,3197644
1/24/2018 16:00:00,177.3,177.3,175.25,176.12,2810819
1/25/2018 16:00:00,176.4,176.62,174.66,175.66,2815838
1/26/2018 16:00:00,175.67,178.4,175.01,178.36,3957724
1/29/2018 16:00:00,178.3,178.7,177.24,177.77,6091905
1/30/2018 16:00:00,177.1,177.67,170.85,172.48,9612974
1/31/2018 16:00:00,173.6,174.3,170.27,171.14,7004176
2/1/2018 16:00:00,170.27,173.54,168.89,171.9,4751328
2/2/2018 16:00:00,170.8,172.73,168.99,169.38,4604454
2/5/2018 16:00:00,168.61,169.46,153.86,163.85,7309275
2/6/2018 16:00:00,158.35,166.05,158.25,165.18,7019960
2/7/2018 16:00:00,164.86,168.26,164.52,165.71,4974029
2/8/2018 16:00:00,165.69,165.73,158.76,158.97,5655988
2/9/2018 16:00:00,159.98,161.98,155.23,160.8,7187079
2/12/2018 16:00:00,162.37,165.89,161.5,163.9,5255925
2/13/2018 16:00:00,163,163.83,161.72,162.4,5405988
2/14/2018 16:00:00,161.44,162.02,159.68,159.99,5865565
2/15/2018 16:00:00,161.14,161.52,158.81,160.78,5012104
2/16/2018 16:00:00,159.47,159.9,157.76,157.79,7165793
2/20/2018 16:00:00,157,159.16,156.28,157.16,5211141
2/21/2018 16:00:00,157.76,161.32,157.6,158.64,7833396
2/22/2018 16:00:00,158.95,161.4,158.9,160.66,4398165
2/23/2018 16:00:00,161.44,163.31,161.44,163.06,4272364
2/26/2018 16:00:00,164,164.75,162.3,163.58,4525196
2/27/2018 16:00:00,164.19,164.5,160.64,160.66,4907530
2/28/2018 16:00:00,160.43,161.21,157.72,157.74,6116820
3/1/2018 16:00:00,157.8,160.43,155.21,155.7,5608962
3/2/2018 16:00:00,148.91,150.45,146.84,148.27,11754262
3/5/2018 16:00:00,148.28,151.48,147.92,151.03,6397841
3/6/2018 16:00:00,151.25,151.71,150.13,151.2,5015408
3/7/2018 16:00:00,149.86,152.74,149.68,152.38,4492049
3/8/2018 16:00:00,152.73,154.61,152.65,154.44,4291386
3/9/2018 16:00:00,155.62,157.73,154.84,157.24,5076480
3/12/2018 16:00:00,157.74,159.45,157.51,157.74,4461502
3/13/2018 16:00:00,158.56,159.89,158.21,158.22,4333091
3/14/2018 16:00:00,159,159.51,157.24,158.24,3878961
3/15/2018 16:00:00,158.71,162.15,158.59,161.61,5925708
3/16/2018 16:00:00,161.88,163.23,161.58,162.36,14293754
3/19/2018 16:00:00,162,162.36,158.21,159.01,4307627
3/20/2018 16:00:00,159.75,160.67,159.25,159.38,3105129
3/21/2018 16:00:00,160,160.41,158.29,158.66,3871947
3/22/2018 16:00:00,157.85,159.12,156.85,157.04,3669437
3/23/2018 16:00:00,157.59,158.08,154.92,154.98,3447383
3/26/2018 16:00:00,156.21,158.2,156.21,158.01,3476951
3/27/2018 16:00:00,158.5,159.77,156.47,157.48,3519139
3/28/2018 16:00:00,157.84,159.76,157.82,158.41,3913249
3/29/2018 16:00:00,159,159.83,156.38,156.38,5289487
4/2/2018 16:00:00,158.27,160.16,155.25,157.72,6960137
4/3/2018 16:00:00,157.98,160.53,157.3,160.4,4719350
4/4/2018 16:00:00,158.5,162.15,157.88,161.73,4888038
4/5/2018 16:00:00,162.4,164.56,161.75,163.95,4503889
4/6/2018 16:00:00,162.42,163.78,160.91,161.25,4321878
4/9/2018 16:00:00,162.22,163.57,161.06,161.23,3581531
4/10/2018 16:00:00,162.83,163.96,162.05,162.77,3926051
