Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,235.78,237.07,232.81,235.64,2930951
1/3/2018 16:00:00,235.07,235.73,233.29,235.63,2193713
1/4/2018 16:00:00,237,239.44,236.47,238.71,2243101
1/5/2018 16:00:00,238.65,240.9,237.74,240.57,1835909
1/8/2018 16:00:00,239.38,240.94,239.18,239.79,1869025
1/9/2018 16:00:00,239.6,241.78,239.34,241.28,1695114
1/10/2018 16:00:00,241,242.57,240.03,241.14,1640853
1/11/2018 16:00:00,240.74,242.34,239.75,242.31,1487650
1/12/2018 16:00:00,243.07,246,242.5,244.47,1974312
1/16/2018 16:00:00,245.3,247.19,243.83,244.74,2411131
1/17/2018 16:00:00,246.85,248.53,245.8,248.11,2519000
1/18/2018 16:00:00,248.13,249,244.92,245.91,2233505
1/19/2018 16:00:00,246.63,248.5,245.6,248.18,2013467
1/22/2018 16:00:00,247.13,247.89,245.08,247.3,1660506
1/23/2018 16:00:00,246.91,247.26,245.12,246.31,1822654
1/24/2018 16:00:00,247.99,248.54,246.25,247.69,3471044
1/25/2018 16:00:00,250,254.8,247.1,252.36,3507873
1/26/2018 16:00:00,253.43,259.77,253.39,258.63,3730628
1/29/2018 16:00:00,258.51,259.34,255.97,256.01,2306292
1/30/2018 16:00:00,255.6,255.69,251.41,251.54,2412632
1/31/2018 16:00:00,251.49,253.13,249.6,250.5,3136406
2/1/2018 16:00:00,247.44,250.09,246.18,247.94,2665501
2/2/2018 16:00:00,246.43,248.75,244.88,245.17,3925658
2/5/2018 16:00:00,243.5,244.4,226.01,231.44,6590490
2/6/2018 16:00:00,227.51,234.57,226.81,233.63,5108142
2/7/2018 16:00:00,233.19,237.52,232.82,233.19,2885570
2/8/2018 16:00:00,233.16,233.31,222.65,222.89,3751281
2/9/2018 16:00:00,224.61,226.96,218.18,225.21,4518613
2/12/2018 16:00:00,227.49,230.38,226.1,229.19,3290351
2/13/2018 16:00:00,229.71,231.97,228.93,231.36,2523579
2/14/2018 16:00:00,229.45,232.87,228.47,232,2337783
2/15/2018 16:00:00,233.31,234.9,230.88,234.87,2127496
2/16/2018 16:00:00,234.97,238.44,233.39,236.67,2221752
2/20/2018 16:00:00,234.54,236.67,233.91,235.07,2675916
2/21/2018 16:00:00,234.71,237.86,232.1,232.18,2561377
2/22/2018 16:00:00,232.43,237.37,232.26,236,2284538
2/23/2018 16:00:00,236.85,237.89,234.39,237.02,1616681
2/26/2018 16:00:00,239.01,244.86,238.51,244.14,3086811
2/27/2018 16:00:00,244.61,244.67,240.72,240.78,1778336
2/28/2018 16:00:00,241.64,242.28,235.4,235.51,2461376
3/1/2018 16:00:00,236.15,236.83,229.53,231.34,3487126
3/2/2018 16:00:00,229.75,231.27,226.33,230.37,2912828
3/5/2018 16:00:00,230,233.71,228.53,232.81,2235348
3/6/2018 16:00:00,234.05,235.92,230.8,233.66,2091101
3/7/2018 16:00:00,231.22,236.22,230.59,235.57,2213792
3/8/2018 16:00:00,236.35,237.69,234.12,236.34,1955197
3/9/2018 16:00:00,238,241.37,236.17,241.35,1840871
3/12/2018 16:00:00,242.1,243.1,239.3,239.8,2151266
3/13/2018 16:00:00,240.9,242.97,236.89,237.57,2009864
3/14/2018 16:00:00,238.8,239.32,233.85,234.29,2239704
3/15/2018 16:00:00,235.22,238.08,234.2,235.87,1770516
3/16/2018 16:00:00,235.67,238.17,235.67,237.22,4858043
3/19/2018 16:00:00,236.01,236.33,230.26,231.56,2621661
3/20/2018 16:00:00,232.12,234.39,231.58,232.45,1727967
3/21/2018 16:00:00,233,237.22,232.31,234.14,1588258
3/22/2018 16:00:00,232.04,232.12,222.8,223.17,4295470
3/23/2018 16:00:00,223.5,224.27,215.27,215.36,4221155
3/26/2018 16:00:00,217.86,220.8,215.18,220.24,3573985
3/27/2018 16:00:00,221.02,221.86,214.73,215.87,2696665
3/28/2018 16:00:00,217.23,219.66,214.91,216.54,2522861
3/29/2018 16:00:00,217.79,221.38,217.46,219.52,2643041
4/2/2018 16:00:00,218.05,218.72,209.47,212.62,3840833
4/3/2018 16:00:00,213,216.46,210.93,216.33,3006825
4/4/2018 16:00:00,212.39,217.92,211.12,217.56,2488891
4/5/2018 16:00:00,218.64,220.31,216.56,218.67,2879937
4/6/2018 16:00:00,217.4,218.85,211,212.25,2503915
4/9/2018 16:00:00,213.75,216.86,212.4,212.81,2186066
4/10/2018 16:00:00,215.32,218.71,215.23,216.98,2877276
4/11/2018 16:00:00,214.2,215.89,213.5,214.33,1819778
4/12/2018 16:00:00,215.72,217.68,215.01,216.42,2292869
4/13/2018 16:00:00,218.09,218.68,214.46,215.52,2034539
4/16/2018 16:00:00,217.2,219.27,216.59,217.7,2060517
4/17/2018 16:00:00,219.15,221.69,218.74,220.09,1853521
4/18/2018 16:00:00,220.39,221.01,219.16,219.52,1599252
4/19/2018 16:00:00,218.04,219.3,217.03,218.85,1453128
4/20/2018 16:00:00,218.41,220.28,216.74,217.75,2634318
4/23/2018 16:00:00,218.02,218.73,214.75,215.88,2520707
4/24/2018 16:00:00,206.5,206.5,196.89,201.13,11671410
4/25/2018 16:00:00,201.1,201.75,197.01,198.84,6205385
4/26/2018 16:00:00,198.68,199.63,196.17,197.09,4124297
4/27/2018 16:00:00,196.77,197.11,194.4,196.12,3354762
4/30/2018 16:00:00,196.96,198.34,194.18,194.39,4008740
5/1/2018 16:00:00,194.03,195.54,191.44,195.02,4710476
5/2/2018 16:00:00,195.15,196.41,194.02,194.5,4017614
5/3/2018 16:00:00,194.52,196.7,192.35,195.68,3425892
5/4/2018 16:00:00,195.07,199.93,194.06,199.36,3071746
5/7/2018 16:00:00,200.06,201,199.58,200.26,2863388
5/8/2018 16:00:00,200,202.11,199.56,201.74,3273549
5/9/2018 16:00:00,202.03,204.73,201.37,203.42,3361255
5/10/2018 16:00:00,202.61,205.68,202.39,205.03,2700843
5/11/2018 16:00:00,204.74,205.37,203.66,205.16,3155722
5/14/2018 16:00:00,205.67,206.04,204.67,205.76,3385944
5/15/2018 16:00:00,204.96,205.57,201.64,202.41,2259183
5/16/2018 16:00:00,200.52,201.04,199.05,200.21,2913530
5/17/2018 16:00:00,199.27,201.4,198.69,200.36,2265781
5/18/2018 16:00:00,200.28,200.76,198.45,198.96,2925657
5/21/2018 16:00:00,200.5,202.93,200,201.76,2126485
5/22/2018 16:00:00,201.96,202.11,198.73,198.97,2313924
5/23/2018 16:00:00,197.74,198.8,196.56,198.67,2737706
5/24/2018 16:00:00,198.83,200.18,196.93,199.41,2055003
5/25/2018 16:00:00,198.33,199.41,197.93,199.03,1686498
5/29/2018 16:00:00,198,198.51,195.1,195.74,2346792
5/30/2018 16:00:00,197.09,199.38,196.7,198.68,2143060
5/31/2018 16:00:00,198.11,198.45,196.26,197.23,5253129
6/1/2018 16:00:00,198.75,200.42,198.28,199.59,1827016
6/4/2018 16:00:00,200.73,201.69,200.07,201.06,2408362
6/5/2018 16:00:00,201.08,202.1,200.89,201.2,2246119
6/6/2018 16:00:00,201.84,204.05,201.55,203.86,2297660
6/7/2018 16:00:00,204.18,205.89,203.76,205.07,2279213
6/8/2018 16:00:00,204.98,206.75,204.41,206.59,2170219
6/11/2018 16:00:00,206.59,206.79,205,205.12,2302892
6/12/2018 16:00:00,205.67,205.95,203.95,204.92,1806066
6/13/2018 16:00:00,205.14,205.66,203.73,204.89,2097873
6/14/2018 16:00:00,205.76,206.27,203.5,203.63,2221453
6/15/2018 16:00:00,202.55,205.06,200.11,204.97,5449476
6/18/2018 16:00:00,202.53,204.57,200.25,204.17,2842825
6/19/2018 16:00:00,201.26,201.83,198.33,199.39,3206804
6/20/2018 16:00:00,199.34,200,197.26,198.08,2348279
6/21/2018 16:00:00,197.84,197.84,194.59,195.52,2420380
6/22/2018 16:00:00,197.39,197.44,195.18,196.5,2838172
6/25/2018 16:00:00,195.98,196.33,193.64,195.8,2922503
6/26/2018 16:00:00,196.84,197.95,195.98,196.58,2140213
6/27/2018 16:00:00,196.57,199.9,194.76,194.92,2889734
6/28/2018 16:00:00,195.5,196.85,194.21,195.97,1978686
6/29/2018 16:00:00,196.47,199.42,196.46,196.72,2671550
7/2/2018 16:00:00,195.46,195.89,193.51,195.52,1815547
7/3/2018 13:00:00,196.49,198.95,195.5,195.83,1228949
7/5/2018 16:00:00,197.07,197.48,195.03,197.34,2019274
7/6/2018 16:00:00,197.09,198.06,196.39,197.46,1624490
7/9/2018 16:00:00,198.14,200.84,198.07,200.53,1967088
7/10/2018 16:00:00,201,202.58,200.39,201.48,1688695
7/11/2018 16:00:00,199.82,199.82,197.49,197.68,1853121
7/12/2018 16:00:00,199.17,200,197.4,199.32,1733568
7/13/2018 16:00:00,200.27,201.79,200,201.18,1626079
7/16/2018 16:00:00,201.55,201.58,200.08,201.11,1468091
7/17/2018 16:00:00,200.99,203.07,200.13,202.07,1920564
7/18/2018 16:00:00,202.22,203.17,201.35,202.2,1945041
7/19/2018 16:00:00,201.76,202.29,199.51,201.6,2616350
7/20/2018 16:00:00,199.33,202.95,198.25,201.95,2335897
7/23/2018 16:00:00,201.54,201.54,197.68,198.84,3269127
7/24/2018 16:00:00,192.94,202.19,190.57,200.68,8186488
7/25/2018 16:00:00,200.63,204.49,200.52,204.38,3345514
7/26/2018 16:00:00,204.89,208.44,204.65,207.96,2848251
