Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,53.96,54.11,53.45,53.61,10073010
1/3/2018 16:00:00,53.62,53.65,53.36,53.53,10582536
1/4/2018 16:00:00,53.82,54.75,53.76,54.4,15030206
1/5/2018 16:00:00,54.72,54.72,53.96,54.34,9499053
1/8/2018 16:00:00,54.55,54.59,53.87,54.03,11109312
1/9/2018 16:00:00,54.17,54.45,53.94,54.16,10631689
1/10/2018 16:00:00,53.92,54.7,53.84,54.64,9062360
1/11/2018 16:00:00,54.64,54.93,54.5,54.92,7106259
1/12/2018 16:00:00,55.26,56.08,55.2,55.93,12343067
1/16/2018 16:00:00,58.88,60.82,58.4,59.19,48091315
1/17/2018 16:00:00,59.4,59.68,59.01,59.15,21889883
1/18/2018 16:00:00,59.12,59.23,57.81,58.29,19905799
1/19/2018 16:00:00,58.62,58.62,57.82,58.43,12161865
1/22/2018 16:00:00,58.12,58.58,57.9,58.4,12247493
1/23/2018 16:00:00,58.19,59.24,58.04,58.83,11181493
1/24/2018 16:00:00,59.13,59.22,58.13,58.34,13482091
1/25/2018 16:00:00,58.45,58.53,58.12,58.45,9402325
1/26/2018 16:00:00,58.63,59.19,58.49,59.16,10553733
1/29/2018 16:00:00,59.07,59.25,58.7,58.77,8776884
1/30/2018 16:00:00,57.96,58.4,57.63,57.83,13040748
1/31/2018 16:00:00,57.95,57.97,56.16,56.5,14869040
2/1/2018 16:00:00,56.42,57.54,56.32,57.08,13368001
2/2/2018 16:00:00,56.65,57.18,55.57,55.84,12264081
2/5/2018 16:00:00,55.56,56.21,53.23,53.78,19605679
2/6/2018 16:00:00,52.58,54.13,51.81,52.88,31006169
2/7/2018 16:00:00,52.61,54.07,52.53,53.28,13692483
2/8/2018 16:00:00,53.44,53.84,52.17,52.19,20869992
2/9/2018 16:00:00,52.59,52.83,50.88,52.32,18580528
2/12/2018 16:00:00,52.78,53.29,52.4,52.85,12652181
2/13/2018 16:00:00,52.66,52.8,52.22,52.35,17039352
