Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,62.85,63.49,62.85,63.49,6510987
1/3/2018 16:00:00,63.48,63.66,62.76,63.48,6091121
1/4/2018 16:00:00,63.4,63.55,62.55,63.44,5780494
1/5/2018 16:00:00,63.7,64.3,63.47,63.98,11632315
1/8/2018 16:00:00,64.15,64.71,63.98,64.55,11905699
1/9/2018 16:00:00,64.23,64.72,63.47,64.09,8771331
1/10/2018 16:00:00,63.88,64.23,63.44,64.22,5010633
1/11/2018 16:00:00,64.03,64.31,63.78,64.29,5103540
1/12/2018 16:00:00,64.5,64.72,64.32,64.67,5135670
1/16/2018 16:00:00,64.78,65.36,63.37,63.42,9116973
1/17/2018 16:00:00,63.67,64.01,63.08,63.81,7422594
1/18/2018 16:00:00,64,64.21,63.54,64.11,5656889
1/19/2018 16:00:00,65.31,67.24,65.12,67.21,12896073
1/22/2018 16:00:00,66.55,66.83,65.76,66.39,8491799
1/23/2018 16:00:00,66.53,67.33,66.44,67.14,6411954
1/24/2018 16:00:00,67.34,68.18,67.07,68,7421781
1/25/2018 16:00:00,68.13,68.64,67.45,67.71,5707632
1/26/2018 16:00:00,68.2,68.64,67.92,68.04,6290517
1/29/2018 16:00:00,67.82,68.14,67.42,67.58,5067258
1/30/2018 16:00:00,67.5,68.31,67.16,67.33,6350474
1/31/2018 16:00:00,67.5,68.83,67.47,68.22,11036394
2/1/2018 16:00:00,67.67,67.97,66.7,67.65,5790528
2/2/2018 16:00:00,67.22,67.79,67,67.22,9348290
2/5/2018 16:00:00,66.63,67.21,64.39,64.39,12549483
2/6/2018 16:00:00,62.48,65.42,62.09,65.22,13356668
2/7/2018 16:00:00,65.15,66.84,65.1,65.63,8845725
2/8/2018 16:00:00,65.53,65.71,62.46,62.49,14121779
2/9/2018 16:00:00,63.76,66.05,62.84,65.49,13733337
2/12/2018 16:00:00,65.94,66.82,65.68,65.98,9792198
2/13/2018 16:00:00,65.85,66.23,65.43,65.87,9538388
2/14/2018 16:00:00,65.72,68.03,65.55,67.96,8662595
2/15/2018 16:00:00,68.39,68.76,67.25,68.29,7390194
2/16/2018 16:00:00,67.9,69,67.74,68.3,6842134
2/20/2018 16:00:00,67.64,67.97,67.05,67.49,4859103
2/21/2018 16:00:00,67.66,68.02,67.03,67.05,5107918
2/22/2018 16:00:00,67.25,67.48,66.74,67.13,6515829
2/23/2018 16:00:00,67.39,68.16,66.85,68.16,4428501
2/26/2018 16:00:00,68.39,69.81,68.34,69.65,6499473
2/27/2018 16:00:00,70,70.25,68.03,68.03,6843056
2/28/2018 16:00:00,68.1,68.3,67.01,67.03,6091771
3/1/2018 16:00:00,67.24,67.67,65.67,66.32,7323859
3/2/2018 16:00:00,64.91,66.09,64.21,65.89,8380732
3/5/2018 16:00:00,65.48,65.49,64.34,65.05,8838383
3/6/2018 16:00:00,65.21,65.36,64.63,65.24,6550145
3/7/2018 16:00:00,64.51,64.79,63.89,64.17,6457572
3/8/2018 16:00:00,64.56,65.25,64.48,65.11,5573005
3/9/2018 16:00:00,65.51,66.51,65.36,66.3,5838391
3/12/2018 16:00:00,66.65,67.61,66.32,66.82,7522727
3/13/2018 16:00:00,67.3,67.69,66.13,66.17,5167304
3/14/2018 16:00:00,66.65,66.9,65.67,66.2,6463809
3/15/2018 16:00:00,66.49,66.61,66.13,66.39,5260823
3/16/2018 16:00:00,66.31,66.69,65.91,65.91,12860940
3/19/2018 16:00:00,65.7,66.34,65.19,65.71,7255627
3/20/2018 16:00:00,65.94,66.87,65.93,66.8,6906163
3/21/2018 16:00:00,66.73,67.21,66.31,66.35,5805245
3/22/2018 16:00:00,65.6,66.15,64.23,64.42,12313298
3/23/2018 16:00:00,66.7,67.22,64.46,64.63,17343849
3/26/2018 16:00:00,65.08,66.06,64.99,65.9,10795962
3/27/2018 16:00:00,65.89,67.64,65.43,66.17,9452475
3/28/2018 16:00:00,66.59,67.15,65.27,65.44,7208406
3/29/2018 16:00:00,65.7,66.55,65.61,66.44,10748306
4/2/2018 16:00:00,65.97,66.05,63.21,64.12,12383944
4/3/2018 16:00:00,64.47,66.73,64.36,66.7,8766360
4/4/2018 16:00:00,65.97,68.5,65.93,68.42,10275849
4/5/2018 16:00:00,68.5,69.78,68.39,69.59,9093342
4/6/2018 16:00:00,68.51,69.31,66.93,67.55,9719265
4/9/2018 16:00:00,68.39,68.55,67.15,67.18,6504476
4/10/2018 16:00:00,67.81,67.88,66.49,67,10382253
4/11/2018 16:00:00,66.58,67.2,66.52,66.83,5185480
4/12/2018 16:00:00,67.07,68,67.07,67.77,5145278
4/13/2018 16:00:00,68.12,68.33,66.98,67.25,4300162
4/16/2018 16:00:00,67.81,67.98,67.06,67.06,6484389
4/17/2018 16:00:00,67.37,67.67,67.28,67.51,5605704
4/18/2018 16:00:00,67.53,67.74,66.16,66.2,7384010
4/19/2018 16:00:00,66.03,66.3,64.99,65.73,8274341
4/20/2018 16:00:00,65.75,66.11,65.45,66.09,10402847
4/23/2018 16:00:00,66,67.03,65.95,66.88,6338381
4/24/2018 16:00:00,67.31,67.51,66.72,66.97,8176123
4/25/2018 16:00:00,66.84,67,66.25,66.67,5188861
4/26/2018 16:00:00,66.78,68.29,66.64,68.05,5355206
4/27/2018 16:00:00,68.47,70,68.45,69.56,7814866
4/30/2018 16:00:00,69.58,69.81,68.39,68.39,6484108
5/1/2018 16:00:00,67.98,68.21,67.03,68.1,4957762
5/2/2018 16:00:00,68.04,68.56,67.48,68.26,5752058
5/3/2018 16:00:00,67.8,67.85,66.64,66.9,6155894
5/4/2018 16:00:00,66.84,68.33,66.8,68.1,5132935
5/7/2018 16:00:00,68.06,69.42,68.06,69.34,5041336
5/8/2018 16:00:00,69.2,69.23,68.2,68.46,6534907
5/9/2018 16:00:00,68.42,68.47,67.01,67.95,7956262
5/10/2018 16:00:00,68.14,68.27,67.33,67.92,4965160
5/11/2018 16:00:00,68.03,68.53,67.91,68.43,4145059
5/14/2018 16:00:00,68.6,68.89,68.11,68.84,3453756
5/15/2018 16:00:00,68.31,69.52,68.23,69.5,5044970
5/16/2018 16:00:00,69.67,71.51,69.62,71.34,9692996
5/17/2018 16:00:00,71.4,71.6,70.82,70.94,6064739
5/18/2018 16:00:00,70.76,71.59,70.47,71.32,5688145
5/21/2018 16:00:00,71.48,71.7,70.71,71.38,5480698
