Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,91.92,91.93,90.55,90.65,7558858
1/3/2018 16:00:00,90.73,91.09,90.52,90.54,5863605
1/4/2018 16:00:00,90.83,91.77,90.61,91.18,6322500
1/5/2018 16:00:00,91.27,91.3,90.57,91.24,5949697
1/8/2018 16:00:00,90.93,91.77,90.93,91.72,4860680
1/9/2018 16:00:00,91.47,91.65,91.01,91.05,6630066
1/10/2018 16:00:00,90.91,90.91,90.01,90.47,6564736
1/11/2018 16:00:00,90.4,90.52,89.92,90.15,5469665
1/12/2018 16:00:00,90.05,90.34,89.35,89.61,8111047
1/16/2018 16:00:00,90.14,90.77,89.64,90.22,9465330
1/17/2018 16:00:00,90.56,91.73,90.43,91.2,8345528
1/18/2018 16:00:00,90.24,90.65,89.67,90.18,7699760
1/19/2018 16:00:00,90.28,91.26,90.24,91.07,9364027
1/22/2018 16:00:00,90.88,91.92,90.77,91.89,8657987
1/23/2018 16:00:00,89.82,90.21,88.6,89.05,18756274
1/24/2018 16:00:00,89.06,89.16,87.7,88.31,15141949
1/25/2018 16:00:00,88.68,89.05,88.01,88.34,11264371
1/26/2018 16:00:00,88.17,88.17,87.23,87.73,11503083
1/29/2018 16:00:00,87.69,87.74,86.69,86.86,11685762
1/30/2018 16:00:00,86.82,87.44,86.63,86.95,9662856
1/31/2018 16:00:00,86.81,87.41,86.08,86.34,11798093
2/1/2018 16:00:00,86.15,86.5,85.56,85.85,8606301
2/2/2018 16:00:00,85.56,85.61,84.21,84.25,12846332
2/5/2018 16:00:00,83.99,84.37,80.1,81.06,17462165
2/6/2018 16:00:00,80.53,82.45,80.12,82.38,19955546
2/7/2018 16:00:00,82.3,83.39,81.82,81.84,11851841
2/8/2018 16:00:00,82.03,82.22,80.15,80.22,14596066
2/9/2018 16:00:00,80.98,81.03,78.59,79.92,18838829
2/12/2018 16:00:00,80.61,81.67,80.58,81.33,10769039
2/13/2018 16:00:00,81.15,81.83,80.91,81.5,9278654
2/14/2018 16:00:00,81.06,81.26,80.27,80.68,9412000
2/15/2018 16:00:00,80.97,82.41,80.5,82.41,8910695
2/16/2018 16:00:00,82.21,83.25,82.13,82.6,10371710
2/20/2018 16:00:00,82.19,82.22,81.07,81.34,7087719
2/21/2018 16:00:00,81.31,81.81,80.19,80.24,9134548
2/22/2018 16:00:00,80.47,81.28,80.17,80.84,10277690
2/23/2018 16:00:00,81.01,81.12,80.48,81.05,10321844
