Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,221.02,222.45,220,221.16,3484974
1/3/2018 16:00:00,221.62,223.81,220.52,223.48,2417588
1/4/2018 16:00:00,224.34,226.1,224.17,224.45,2749067
1/5/2018 16:00:00,225.19,229.05,224.72,228.73,2432773
1/8/2018 16:00:00,228.13,228.71,224.61,224.76,2850845
1/9/2018 16:00:00,224.76,226.63,223.3,225.88,2672161
1/10/2018 16:00:00,224.83,225.01,223.03,224.2,2311609
1/11/2018 16:00:00,224.18,225.92,223.7,225.39,2543589
1/12/2018 16:00:00,227.45,229.9,226.52,228.64,3943796
1/16/2018 16:00:00,233.37,235,231.25,232.9,6852619
1/17/2018 16:00:00,234.67,238.96,233.85,238.43,5124815
1/18/2018 16:00:00,239.26,243.9,238.55,243.16,6234153
1/19/2018 16:00:00,244.18,244.35,241.07,243.35,4293632
1/22/2018 16:00:00,243.59,243.8,241.36,243.56,4012161
1/23/2018 16:00:00,242.99,246.98,242.41,245.21,3300020
1/24/2018 16:00:00,246.01,247.31,243.71,244.85,2733255
1/25/2018 16:00:00,244.75,246.19,243.9,245.18,2420503
1/26/2018 16:00:00,245,248.74,244.46,248.47,2615342
1/29/2018 16:00:00,249.28,250.79,247.4,247.41,2564688
1/30/2018 16:00:00,232.88,242.74,232.1,236.65,11565538
1/31/2018 16:00:00,242.84,247,235.76,236.78,5187404
2/1/2018 16:00:00,235.26,237.82,233.83,235.22,4268312
2/2/2018 16:00:00,233,236.3,231.19,231.88,3959904
2/5/2018 16:00:00,230.79,233.11,208.48,220.02,6289977
2/6/2018 16:00:00,212.2,226.51,210.21,225.18,7064825
2/7/2018 16:00:00,222.33,229.29,221.51,225.82,5589154
2/8/2018 16:00:00,225.33,226.63,216.26,216.46,4902390
2/9/2018 16:00:00,218,223.28,212.01,220.96,6225326
2/12/2018 16:00:00,222.44,228,222.15,225.69,4912013
2/13/2018 16:00:00,223.15,227.12,222.39,226.64,3536761
2/14/2018 16:00:00,224.95,229.34,223.92,228.78,2878356
2/15/2018 16:00:00,229.27,230,221.74,226.02,4662696
2/16/2018 16:00:00,225.99,230.55,225.7,229.37,3621676
2/20/2018 16:00:00,227.91,228.75,225.61,226.66,3172340
2/21/2018 16:00:00,226.15,229.35,225.11,225.13,3371907
2/22/2018 16:00:00,226.3,229.84,225.08,227.09,2768064
