Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,53.16,53.57,52.8,53.53,16045345
1/3/2018 16:00:00,53.3,53.34,52.18,52.43,16662400
1/4/2018 16:00:00,52.37,52.89,51.83,52.6,12062821
1/5/2018 16:00:00,52.8,52.88,52.35,52.48,13348863
1/8/2018 16:00:00,52.56,52.75,52.04,52.39,16212689
1/9/2018 16:00:00,52.12,52.44,51.55,51.61,14677833
1/10/2018 16:00:00,51.39,51.73,51.15,51.69,12593385
1/11/2018 16:00:00,51.89,52.18,51.64,52.11,15568207
1/12/2018 16:00:00,51.94,52.24,51.78,51.86,17673664
1/16/2018 16:00:00,51.68,52.02,51.42,51.66,14739183
1/17/2018 16:00:00,51.81,51.9,51.21,51.72,11591459
1/18/2018 16:00:00,51.9,53.3,51.39,51.55,29442552
1/19/2018 16:00:00,51.74,51.92,51.16,51.91,23761297
1/22/2018 16:00:00,52.05,53.49,52.01,53.46,27691346
1/23/2018 16:00:00,54.6,54.6,52.81,53.23,33000480
1/24/2018 16:00:00,53.82,54.44,53.5,54.22,21080439
1/25/2018 16:00:00,54.28,54.77,54.01,54.29,18638689
1/26/2018 16:00:00,54.49,54.75,54.34,54.72,13077557
1/29/2018 16:00:00,53.58,54.58,53.4,54.13,17052645
1/30/2018 16:00:00,54.3,54.5,53.79,53.9,15401453
1/31/2018 16:00:00,53.99,54.42,53.53,54.07,17826960
2/1/2018 16:00:00,54.49,54.75,54.01,54.3,18646097
2/2/2018 16:00:00,54.27,54.27,52.9,52.98,15574016
2/5/2018 16:00:00,52.52,53.19,50.5,50.5,22239589
2/6/2018 16:00:00,49.44,51,49.07,50.83,34543947
2/7/2018 16:00:00,50.63,51.93,50.5,51.01,16066607
2/8/2018 16:00:00,50.89,51.08,49,49.04,23308910
2/9/2018 16:00:00,49.6,50.3,48.37,49.88,27707860
2/12/2018 16:00:00,50.22,50.66,49.58,50.11,16903021
2/13/2018 16:00:00,49.91,50.26,49.17,50.08,11871683
2/14/2018 16:00:00,49.76,50.1,49.32,49.51,17559235
2/15/2018 16:00:00,49.55,49.78,48.95,49.74,18902737
2/16/2018 16:00:00,49.69,50.46,49.69,50.15,12263969
2/20/2018 16:00:00,49.84,49.89,48.76,48.92,21330390
2/21/2018 16:00:00,48.8,48.86,47.94,47.96,20889871
2/22/2018 16:00:00,48.25,48.7,47.78,47.87,21198268
2/23/2018 16:00:00,48.09,48.3,47.54,48.29,26371397
2/26/2018 16:00:00,48.72,49.15,48.45,49.09,20853929
2/27/2018 16:00:00,49.02,49.17,48.04,48.04,23234746
2/28/2018 16:00:00,48.76,48.96,47.72,47.74,22159143
3/1/2018 16:00:00,47.69,48.6,47.51,47.96,28950158
3/2/2018 16:00:00,47.83,48.33,47.76,48.26,17449857
3/5/2018 16:00:00,48.15,48.94,48.02,48.71,15348432
3/6/2018 16:00:00,48.75,48.89,48.3,48.89,13526912
3/7/2018 16:00:00,48.54,49.21,48.46,48.84,16738156
3/8/2018 16:00:00,48.89,49.03,48.32,49.01,17038529
3/9/2018 16:00:00,49.2,49.23,48.35,49.01,14927138
3/12/2018 16:00:00,49.03,49.26,48.67,48.8,12526287
3/13/2018 16:00:00,49,49.26,48.5,48.65,12840162
3/14/2018 16:00:00,48.93,49.1,48.36,48.45,11930400
3/15/2018 16:00:00,48.53,48.77,48.14,48.29,9537380
3/16/2018 16:00:00,48.41,48.78,48.22,48.56,26838058
3/19/2018 16:00:00,48.53,48.61,48.12,48.31,12980838
3/20/2018 16:00:00,48.4,48.59,47.58,47.69,10765457
3/21/2018 16:00:00,47.69,47.96,47.27,47.28,11062488
3/22/2018 16:00:00,47.1,47.52,46.77,46.88,14270811
3/23/2018 16:00:00,47.06,47.46,46.2,46.29,15955106
3/26/2018 16:00:00,46.78,47.17,46.59,47.07,15435526
3/27/2018 16:00:00,47.1,47.9,46.84,47.31,14544674
3/28/2018 16:00:00,47.89,48.56,47.83,48,17727973
3/29/2018 16:00:00,48.2,48.73,47.57,47.82,17305531
4/2/2018 16:00:00,47.62,47.94,46.72,47.16,16511150
4/3/2018 16:00:00,47.22,47.53,46.71,47.5,14841286
4/4/2018 16:00:00,47.16,47.99,46.9,47.93,12376358
4/5/2018 16:00:00,47.98,48.35,47.68,48.24,13201329
4/6/2018 16:00:00,48.1,48.28,47.27,47.48,16071594
4/9/2018 16:00:00,47.03,47.5,46.8,46.92,13475316
4/10/2018 16:00:00,47.2,48.97,46.99,48.27,24445280
4/11/2018 16:00:00,47.93,47.99,47.48,47.58,11695589
4/12/2018 16:00:00,47.87,48.14,47.44,47.74,8837914
4/13/2018 16:00:00,47.91,47.98,47.51,47.66,7301958
4/16/2018 16:00:00,47.95,48.46,47.86,48.39,8885499
4/17/2018 16:00:00,48.59,49.04,48.31,48.85,11575542
4/18/2018 16:00:00,49,49.06,48.57,48.62,8347722
4/19/2018 16:00:00,48.6,48.96,48.38,48.43,11174180
4/20/2018 16:00:00,48.31,48.62,47.21,47.9,18224650
4/23/2018 16:00:00,48.2,48.72,47.97,48.66,14211613
4/24/2018 16:00:00,49.92,50.39,49.14,49.67,20920383
4/25/2018 16:00:00,50.06,50.16,49.24,50.1,19893156
4/26/2018 16:00:00,49.6,50.04,49.44,49.76,14121924
4/27/2018 16:00:00,50.25,51.69,50.16,51.57,25986194
4/30/2018 16:00:00,51.4,51.65,49.34,49.35,28938874
5/1/2018 16:00:00,49.49,49.65,48.24,48.82,16101415
5/2/2018 16:00:00,48.79,48.86,47.49,47.75,18515922
