Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,73.28,75.19,72.97,74.95,6605048
1/3/2018 16:00:00,75.09,75.8,74.31,75.51,7147315
1/4/2018 16:00:00,73.49,73.5,70.73,71.6,12456049
1/5/2018 16:00:00,71.9,73.25,71.82,72.92,9067204
1/8/2018 16:00:00,73.15,74,72.75,73.85,5312506
1/9/2018 16:00:00,74.08,74.19,73.2,73.42,4146746
1/10/2018 16:00:00,73.43,74.18,73.21,74.08,4562627
1/11/2018 16:00:00,73.95,75.44,73.9,75.38,6304492
1/12/2018 16:00:00,75.55,76.89,75.48,76.07,6458426
1/16/2018 16:00:00,76.45,76.62,75.92,76.03,4751298
1/17/2018 16:00:00,76.63,76.65,75.59,75.78,4587098
1/18/2018 16:00:00,75.59,76.35,75.53,76,5597610
1/19/2018 16:00:00,75.83,76.51,75.78,76.47,6849303
1/22/2018 16:00:00,76.64,77.44,76.42,77.4,3619597
1/23/2018 16:00:00,76.94,77.21,76.2,77.02,3754711
1/24/2018 16:00:00,77.3,77.83,77,77.33,4028268
1/25/2018 16:00:00,77.85,78.44,77.35,78.27,4118309
1/26/2018 16:00:00,78.5,79.2,78.03,79.15,3884558
1/29/2018 16:00:00,79.15,80.68,79.09,80.27,6249765
1/30/2018 16:00:00,77.96,79.21,75.43,76.13,11214271
1/31/2018 16:00:00,76.7,76.89,74.91,75.26,6742415
2/1/2018 16:00:00,74.53,76.35,73.67,76.06,5198419
2/2/2018 16:00:00,75.88,76.24,73.34,73.56,7024843
2/5/2018 16:00:00,73.54,74.22,70.32,70.43,7085867
2/6/2018 16:00:00,69.1,72.19,68.3,71.79,6809107
2/7/2018 16:00:00,71.34,73.2,71.16,71.53,4328790
2/8/2018 16:00:00,71.57,71.85,68.2,68.22,6975093
2/9/2018 16:00:00,68.88,69.3,66.34,68.46,7292534
2/12/2018 16:00:00,68.62,69.44,67.87,68.46,3997992
2/13/2018 16:00:00,67.87,70.52,67.48,68.29,6791569
2/14/2018 16:00:00,67.6,69.3,67.6,68.49,5556451
2/15/2018 16:00:00,68.99,69.78,68.3,69.78,4558907
2/16/2018 16:00:00,69.99,71.37,69.94,70.92,4623643
2/20/2018 16:00:00,70.82,71.72,70.19,70.91,5581148
2/21/2018 16:00:00,70.93,71.28,69.54,69.63,4658818
2/22/2018 16:00:00,69.72,70.17,69.31,69.67,4798956
2/23/2018 16:00:00,70.32,70.5,69.09,70.36,3116357
2/26/2018 16:00:00,70.45,70.69,69.5,70.6,3223398
2/27/2018 16:00:00,70.79,71,68.51,69.14,6302380
2/28/2018 16:00:00,69.39,70.01,68.68,68.89,8173142
3/1/2018 16:00:00,69.06,71.12,68.96,70.2,7299826
3/2/2018 16:00:00,69.55,70.75,69.43,70.58,4682145
3/5/2018 16:00:00,70.04,70.67,69.39,70.55,7464715
3/6/2018 16:00:00,70.55,70.55,68.82,69.79,4498261
3/7/2018 16:00:00,69.26,70.25,68.98,69.5,4161368
3/8/2018 16:00:00,69.81,70.16,68.5,68.97,4664997
3/9/2018 16:00:00,69.22,70.69,68.58,70.6,4003704
3/12/2018 16:00:00,70.65,71.18,69.95,70.15,4764460
3/13/2018 16:00:00,70.64,70.71,69.5,69.86,4515512
3/14/2018 16:00:00,70.01,70.5,68,68.55,5795744
3/15/2018 16:00:00,68.58,68.97,67.08,67.38,4764589
3/16/2018 16:00:00,67.69,68.11,67.18,67.57,10308161
3/19/2018 16:00:00,67.47,67.69,66.22,66.62,4500538
3/20/2018 16:00:00,66.71,67,65.46,66.05,4230053
3/21/2018 16:00:00,65.96,67.14,65.68,66.27,4466878
3/22/2018 16:00:00,65.79,67.14,65.58,65.83,4570748
3/23/2018 16:00:00,66.06,66.75,65.36,65.43,6273512
3/26/2018 16:00:00,66.13,67.59,66.12,67.47,5367272
