Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,99.3,99.79,98.52,98.59,10150490
1/3/2018 16:00:00,98.85,100,98.77,99.45,8903576
1/4/2018 16:00:00,99.54,99.78,98.91,99.54,6830407
1/5/2018 16:00:00,99.64,100.38,99.61,100.13,7283990
1/8/2018 16:00:00,100.25,101.75,100.21,101.61,8843872
1/9/2018 16:00:00,102.03,102.35,100.31,100.39,7312744
1/10/2018 16:00:00,99.75,99.89,98.53,99.67,7930420
1/11/2018 16:00:00,99.7,100.45,98.78,100.02,6537682
1/12/2018 16:00:00,100.39,101.44,100.3,100.87,6951178
1/16/2018 16:00:00,101.34,101.91,100.34,100.69,7170701
1/17/2018 16:00:00,101.15,102.94,100.7,102.7,8681944
1/18/2018 16:00:00,104.74,104.94,103.62,104.3,12307866
1/19/2018 16:00:00,104.64,104.93,103.66,104.59,8378580
1/22/2018 16:00:00,104.5,105.45,104.04,105.45,7308268
1/23/2018 16:00:00,105.29,106.15,104.57,105.9,8287814
1/24/2018 16:00:00,106.35,106.44,104.82,105.79,6823108
1/25/2018 16:00:00,105.85,106.81,105.85,106.6,5857136
1/26/2018 16:00:00,107,108.41,106.68,108.39,6786305
1/29/2018 16:00:00,108.11,109.98,107.99,109.55,8355204
1/30/2018 16:00:00,109.14,109.36,107.15,107.73,9180477
1/31/2018 16:00:00,107.77,108.18,106.07,106.6,9812836
2/1/2018 16:00:00,105.96,106.56,105.18,105.52,6386836
2/2/2018 16:00:00,105.15,106.47,104.15,104.48,9253068
2/5/2018 16:00:00,103.4,104.61,97.09,100.09,12561594
2/6/2018 16:00:00,97.64,101.08,97.25,100.9,16413797
2/7/2018 16:00:00,100.5,104.59,100.01,102.85,11165223
2/8/2018 16:00:00,103.23,103.48,100,100.02,13975058
2/9/2018 16:00:00,100.53,101.1,96.43,99.37,14184609
2/12/2018 16:00:00,100.13,100.45,98.8,99.55,9135144
2/13/2018 16:00:00,99.33,101.22,99.33,100.98,6622769
2/14/2018 16:00:00,100.86,102.25,100.21,101.7,7307584
2/15/2018 16:00:00,102.55,103.64,101.83,103.23,7494919
2/16/2018 16:00:00,103.09,104.94,101.98,104.78,16064310
2/20/2018 16:00:00,96.99,97.94,94.1,94.11,52088475
2/21/2018 16:00:00,95.11,95.34,91.24,91.52,49503726
2/22/2018 16:00:00,91.43,93.39,91.31,92.77,20364982
2/23/2018 16:00:00,92.88,93.49,91.76,92.89,12791460
2/26/2018 16:00:00,92.9,93.8,92.22,93.12,14699278
2/27/2018 16:00:00,93.63,93.72,91.51,91.52,13376071
2/28/2018 16:00:00,92,92.1,90,90.01,14143695
3/1/2018 16:00:00,90.17,90.18,87.71,89.08,18909571
3/2/2018 16:00:00,87.27,88.9,87.24,88.77,19043367
3/5/2018 16:00:00,88.14,90.5,88.07,89.98,13383214
3/6/2018 16:00:00,90.35,90.5,88.63,89.06,11054682
3/7/2018 16:00:00,87.98,88.53,87.34,87.74,11453034
3/8/2018 16:00:00,87.77,88.13,87.34,87.92,9588676
3/9/2018 16:00:00,88.24,88.72,87.53,88.72,9754352
3/12/2018 16:00:00,88.7,89.44,87.88,88.07,8474026
3/13/2018 16:00:00,88.39,88.9,87.98,88.3,7172984
3/14/2018 16:00:00,88.51,88.99,87.5,87.67,11040586
3/15/2018 16:00:00,87.68,88.79,85.9,87.51,16615179
3/16/2018 16:00:00,87.72,90.09,87.5,89.17,28395992
3/19/2018 16:00:00,88.91,89.08,87.1,87.45,12053365
3/20/2018 16:00:00,87.86,88.15,87.37,87.95,8257950
3/21/2018 16:00:00,87.89,89.68,87.68,88.18,11836041
3/22/2018 16:00:00,87.53,88.27,86.99,87.14,12248169
3/23/2018 16:00:00,87.35,87.74,85.28,85.42,10125050
3/26/2018 16:00:00,86.22,87.69,86.11,87.5,9199774
3/27/2018 16:00:00,87.96,88.04,85.48,86.05,6545769
3/28/2018 16:00:00,86.26,88.24,86.19,87.77,11576255
3/29/2018 16:00:00,87.9,89.34,87.77,88.97,9274565
4/2/2018 16:00:00,88,88.24,84.84,85.55,19128893
4/3/2018 16:00:00,86.25,86.95,85.55,86.8,9695513
